Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
503,Chema,es ESP,DF,Getafe,es La Liga,27,1992,3.4,22.4,36.2,61.8,587.6,210,0.29,0.59,50,12.9,16.8,77.2,9.12,18.8,48.4,0,0,0,0,2.35,0,0,1.76,Matches
504,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,15,2003,1.6,27.5,41.3,66.7,385.6,79.4,1.88,6.25,30,23.1,28.1,82.2,2.5,6.88,36.4,0,0.06,-0.06,0.63,0,0,0,1.88,Matches
505,Denis Cheryshev,ru RUS,"MF,FW",Valencia,es La Liga,28,1990,10.3,23.3,33.9,68.8,394,100.7,0.68,1.94,35,19,24.6,77.5,3.59,7.38,48.7,0.19,0.12,0.08,0.78,1.36,1.17,0.58,3.11,Matches
506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,2.2,44.1,48.2,91.5,919.1,266.8,0.91,1.36,66.7,30.9,32.3,95.8,12.3,14.5,84.4,0,0,0,0,3.64,0,0,3.64,Matches
507,Federico Chiesa,it ITA,"FW,DF",Fiorentina,it Serie A,21,1997,29.3,20.8,28.4,73.1,349.2,110.2,0.75,1.81,41.5,16.8,21.1,79.4,3.28,5.53,59.3,0.2,0.19,0.02,1.57,1.26,1.5,0.27,3.79,Matches
508,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,26.4,57.9,74.1,78.1,990.2,316.6,0.68,2.77,24.7,48.9,55.7,87.7,8.33,15.6,53.4,0.11,0.13,-0.02,1.36,3.64,0.87,0.45,6.14,Matches
509,Vlad Chiriche?,ro ROU,DF,Sassuolo,it Serie A,29,1989,7.9,57.5,61.8,93,1150.5,382.9,0.63,0.89,71.4,42.5,45.3,93.9,14.3,15.6,91.9,0,0,0,0,2.91,0.13,0,2.66,Matches
510,Tahith Chong,nl NED,"FW,MF",Manchester Utd,eng Premier League,19,1999,0.4,22.5,35,64.3,340,87.5,0,5,0,22.5,27.5,81.8,0,2.5,0,0,0,0,0,0,0,0,5,Matches
511,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,30.9,40,77.2,703.9,190.7,0.58,1.58,36.4,20.6,24.8,83.2,9.64,13.6,70.9,0,0.03,-0.03,0.58,4.32,0.72,0.07,4.32,Matches
512,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,9.9,43.2,49.9,86.6,787.8,153.6,0.91,2.12,42.9,33.2,36.9,90.1,9.09,10.9,83.3,0.1,0.01,0.09,0.3,3.03,0.2,0,2.02,Matches
513,Mounir Chouiar,fr FRA,"MF,FW",Dijon,fr Ligue 1,20,1999,16.7,27.5,38.3,71.7,484.9,156.3,0.84,2.4,35,21.2,25.7,82.3,5.45,10.2,53.5,0,0.17,-0.17,2.63,1.98,1.2,0.18,5.63,Matches
514,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,19.5,59.8,64.5,92.7,1363.7,329.5,0.36,0.82,43.8,36.7,38.2,96,22.8,25.5,89.3,0,0.06,-0.06,0.21,4.05,0.1,0,2.31,Matches
515,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,es La Liga,20,1999,22.4,24.7,33.5,73.7,462.5,119.7,0.49,2.14,22.9,18.7,23.4,79.8,5.49,7.9,69.5,0.09,0.15,-0.06,1.56,1.61,1.47,0.4,4.02,Matches
516,Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,0.2,35,55,63.6,620,70,0,10,0,30,40,75,5,5,100,0,0,0,5,0,0,0,0,Matches
517,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,13,36.7,35.4,526.7,406.7,0,0.37,0,5.19,5.56,93.3,7.78,30.7,25.3,0,0,0,0,0.74,0,0,0,Matches
518,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.8,55.7,69,80.8,1131.5,404.5,0.84,1.57,53.6,40.3,44.1,91.3,14.6,23.3,62.7,0.22,0.17,0.06,2.36,6.97,0.79,0,8.15,Matches
519,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,18.1,33,39.3,83.8,651.9,172.8,0.66,1.38,48,24,27.9,86.1,8.29,10.1,82.4,0,0.01,-0.01,0.17,2.65,0.17,0,2.87,Matches
520,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,20.3,32.6,62.5,625.8,420.7,0.26,0.3,85.7,11,11.1,98.8,9.1,21.2,43,0.04,0,0.04,0.04,0.09,0,0,0,Matches
521,Thiago Cionek,pl POL,DF,SPAL,it Serie A,33,1986,24.1,42.7,56.4,75.7,761.5,331,0.75,2.82,26.5,34.1,38.5,88.6,7.84,15.1,51.9,0.04,0.04,0,0.58,2.78,0.75,0.37,6.31,Matches
522,Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23,1996,0.7,81.4,90,90.5,1404.3,515.7,1.43,1.43,100,64.3,68.6,93.8,15.7,20,78.6,0,0.14,-0.14,1.43,2.86,1.43,1.43,14.3,Matches
523,Ibrahim Cissé,ci CIV,"DF,FW",Nice,fr Ligue 1,20,1999,0.6,61.7,73.3,84.1,1246.7,453.3,0,0,,43.3,46.7,92.9,18.3,26.7,68.8,0,0,0,0,1.67,0,0,3.33,Matches
524,Andrea Cistana,it ITA,DF,Brescia,it Serie A,22,1997,20.4,33.7,39.6,85.1,734.1,218.8,0.49,1.27,38.5,22.5,24.8,91.1,10.7,13.6,78.7,0,0.03,-0.03,0.25,1.52,0.25,0,1.91,Matches
525,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,13.2,19.2,24.4,78.6,409.9,155.8,0.23,0.45,50,13.3,15.2,87.1,5.68,8.71,65.2,0,0,0,0.08,1.52,0.15,0,1.82,Matches
526,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,34,1985,0.4,12.5,17.5,71.4,182.5,17.5,0,0,,10,15,66.7,2.5,2.5,100,0,0,0,0,0,0,0,0,Matches
527,Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,fr Ligue 1,21,1998,18.1,27.8,33.1,84,459.3,94.1,0.55,1.33,41.7,23.5,26.3,89.3,3.81,5.52,69,0.06,0.04,0.01,1.16,1.33,0.94,0.17,3.04,Matches
528,Christian Clemens,de GER,"MF,FW",Köln,de Bundesliga,27,1991,0.2,0,15,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,Matches
529,Óscar Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,0,2,2,100,33,0,0,0,,2,2,100,0,0,,0,0,0,0,0,0,0,0,Matches
530,Yannis Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2,20.5,30.5,67.2,447,245,0,0,,16,16,100,4.5,14.5,31,0,0,0,0,0,0,0,0,Matches
531,Denilho Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,0.5,14,14,100,148,24,2,2,100,10,10,100,2,2,100,0,0,0,0,0,0,0,0,Matches
532,Carlos Clerc,es ESP,DF,Levante,es La Liga,27,1992,20.5,34.6,47.2,73.2,578.3,252.1,0.34,1.9,17.9,29.8,34.7,85.7,4.49,10.6,42.4,0.1,0.09,0,0.49,2.15,0.34,0.2,5.22,Matches
533,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,10.8,33.9,43.5,77.9,550.2,181.9,1.57,2.31,68,27.5,31.3,87.9,4.81,9.91,48.6,0,0.05,-0.05,1.3,3.24,1.2,0.37,4.91,Matches
534,Conor Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38,40.3,46.9,85.9,1116.6,393,0.26,0.61,43.5,19.9,21.3,93.7,20.1,25,80.3,0,0.02,-0.02,0.13,3.08,0.18,0,1.5,Matches
535,Marcus Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,0.2,15,15,100,135,35,0,0,,15,15,100,0,0,,0,0,0,0,0,0,0,0,Matches
536,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,8.5,56.5,68.7,82.2,1045.4,237.4,1.18,2.59,45.5,43.8,49.9,87.7,11.5,16.2,71,0,0.06,-0.06,1.06,6.82,0.59,0,5.88,Matches
537,Coke,es ESP,DF,Levante,es La Liga,32,1987,11,42.1,52.5,80.2,805.8,332.1,0.55,2.64,20.7,32.1,35.9,89.4,9.45,13.9,68,0,0.04,-0.04,0.64,2.36,0.73,0.27,5.64,Matches
538,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,20.4,39.9,51.9,76.8,704.3,299.1,0.49,2.65,18.5,32.6,37.9,86,6.76,11.3,59.7,0.05,0.02,0.02,0.39,3.24,0.64,0.2,5.74,Matches
539,Álex Collado,es ESP,DF,Barcelona,es La Liga,20,1999,0.1,90,100,90,1270,70,10,10,100,70,80,87.5,10,10,100,0,0,0,0,10,0,0,0,Matches
540,Ebrima Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,0.9,41.1,46.7,88.1,564.4,102.2,2.22,3.33,66.7,38.9,42.2,92.1,0,1.11,0,1.11,0.67,0.44,2.22,2.22,2.22,0,3.33,Matches
541,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,30.8,35.4,43,82.3,830.5,290.1,0.91,1.43,63.6,21.5,23.6,90.9,13,17.9,72.3,0.03,0.01,0.02,0.19,3.18,0.16,0.03,3.15,Matches
542,Jamilu Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,29.6,45.5,59.7,76.1,867.1,368,0.34,2.74,12.3,35.8,41.8,85.8,9.29,15.2,61.1,0.07,0.05,0.02,0.68,3.92,0.34,0.1,6.86,Matches
543,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,20.5,24.5,83.7,478.5,287,1.5,1.5,100,12.5,12.8,98,6.5,10.3,63.4,0,0,0,0,0,0,0,0,Matches
544,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,17,2002,0.1,20,20,100,440,200,0,0,,10,10,100,10,10,100,0,0,0,0,0,0,0,10,Matches
545,Racine Coly,sn SEN,DF,Nice,fr Ligue 1,23,1995,7.2,64.7,75,86.3,1117.9,387.2,2.08,3.89,53.6,52.6,57.8,91.1,10,13.3,75,0,0,0,0.14,3.19,0.28,0.14,5.69,Matches
546,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,23,1996,16.7,36.5,47.7,76.6,657.2,129,0.3,1.86,16.1,30.5,37.1,82.3,5.69,8.68,65.5,0.18,0.23,-0.05,1.98,1.5,2.04,0.6,4.85,Matches
547,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,21.6,35,41.7,83.9,706,317.3,0.09,0.74,12.5,26.4,29.4,89.8,8.43,11.5,73.4,0.05,0.01,0.04,0.09,2.92,0.19,0.09,4.07,Matches
548,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,14,9,11.6,77.3,124.1,17.4,0.86,1.5,57.1,6.86,8.5,80.7,1.29,1.64,78.3,0.07,0.02,0.05,0.43,0.43,0.14,0,0.71,Matches
549,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,25.1,32.1,78.2,608.8,351.9,0.45,0.45,100,15.9,16.1,98.6,8.74,15.5,56.3,0,0.03,-0.03,0.13,0.35,0.03,0,0,Matches
550,Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,46.3,55.2,83.8,800,320.6,0.68,1.82,37.1,37.8,41.1,91.9,7.81,12.3,63.6,0.1,0.08,0.03,0.47,4.84,0.52,0.21,5.73,Matches
551,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15,37.3,47.9,77.9,744,219.5,0.47,1.87,25,27.5,32.5,84.8,9.33,13.6,68.6,0,0.06,-0.06,0.87,4.07,0.73,0.07,4.67,Matches
552,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27,36.8,45.3,81.3,841.9,278,0.22,0.81,27.3,23.2,26,89,13.4,18.4,72.6,0,0.01,-0.01,0.11,1.81,0.11,0,2.41,Matches
553,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,41.7,46.4,89.9,818.8,173.1,0.57,0.94,60,31.7,33.5,94.5,9.48,11.9,79.4,0,0.01,-0.01,0.33,4.1,0.38,0,2.83,Matches
554,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1.4,37.9,42.1,89.8,840.7,339.3,0.71,0.71,100,26.4,26.4,100,10.7,15,71.4,0,0,0,0,2.14,0,0,5,Matches
555,Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3,49.7,62,80.1,898,323,0.33,3.33,10,41,44,93.2,8.33,14.7,56.8,0,0.17,-0.17,2.33,2,2.33,1,9.33,Matches
556,Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16,19.8,28.6,69,289.5,76.9,0.88,2.56,34.1,16.9,21.3,79.7,1.94,4.81,40.3,0.25,0.07,0.18,0.88,1.25,0.81,0.38,2,Matches
557,Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,14.4,18.4,78.4,233.5,22.7,0.59,1.4,41.9,12,14.5,82.7,1.8,2.43,74.1,0.09,0.07,0.02,0.9,0.68,0.32,0,0.68,Matches
558,Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,4.1,13.2,18.5,71.1,190.5,44.1,0.98,1.95,50,10.5,13.9,75.4,1.71,2.68,63.6,0.24,0.2,0.05,0.73,1.71,0,0,1.46,Matches
559,Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,15.5,27.6,56.3,251,92.8,1.03,3.1,33.3,11.7,17.9,65.4,2.76,6.55,42.1,0,0,0,0,2.76,0.34,0,3.1,Matches
560,Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29,25.6,32.2,79.6,429,95.4,1.17,2.14,54.8,20.2,23.7,85.2,4.24,6.31,67.2,0,0.02,-0.02,0.34,1.97,0.24,0.03,2.14,Matches
561,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,16.6,17.7,24.9,70.9,272.8,48.3,0.72,1.87,38.7,14.8,19.2,77.4,2.11,3.86,54.7,0.18,0.1,0.08,1.08,1.14,0.36,0,1.57,Matches
562,Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,14.8,33.7,46.6,72.3,555.5,192.9,1.01,3.04,33.3,28.3,34.3,82.5,4.39,9.26,47.4,0.2,0.18,0.02,1.69,1.62,1.49,0.81,5.61,Matches
563,Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,3.9,19.7,36.2,54.6,371.8,130,0.26,2.31,11.1,15.9,20.3,78.5,3.59,13.6,26.4,0.51,0.21,0.31,0.77,2.05,2.05,1.28,5.13,Matches
564,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,22.9,19.8,26.3,75.3,272.9,66.9,1.18,2.18,54,16.8,20.6,81.7,1.83,3.58,51.2,0.26,0.18,0.08,1.27,1.18,0.92,0.09,2.05,Matches
565,Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,22.2,26,31.4,82.9,398.3,77.4,1.31,2.34,55.8,21.4,25,85.4,3.38,4.05,83.3,0.09,0.13,-0.04,1.44,1.4,1.53,0.05,3.02,Matches
566,Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,37,49.8,74.3,683.6,286.1,0.87,2.33,37.5,28.1,33.5,83.8,8.06,14,57.6,0,0.02,-0.02,0.58,3.11,0.68,0.29,7.38,Matches
567,Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,36.9,46.2,79.9,713.4,307.6,0.69,3.45,20,28.3,30.7,92.1,7.93,12.1,65.7,0,0.03,-0.03,0.69,3.45,0.69,0.34,6.55,Matches
568,Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2,9.5,19,50,121.5,23.5,1,3,33.3,8,14.5,55.2,0.5,1.5,33.3,0,0.1,-0.1,1,0.5,0,0,0.5,Matches
569,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,25,28,89.3,575,294,0,0,,17,17,100,8,11,72.7,0,0,0,0,0,0,0,0,Matches
570,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,26.5,40.6,65.2,516,202.7,0.26,2.53,10.3,20.4,27.1,75.3,5.84,11,52.9,0.26,0.24,0.02,1.36,1.23,2.01,1.17,6.69,Matches
571,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15,17.3,24.4,71,263.1,46.3,0.73,2.47,29.7,14.2,18.6,76.3,2.4,3.33,72,0.27,0.12,0.15,0.87,1.2,0.87,0.13,1.87,Matches
572,Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,44,55.1,80,788.7,211.7,1.12,3.26,34.5,34.3,38.4,89.2,8.65,13.4,64.7,0.45,0.38,0.07,3.71,3.93,1.46,0.45,6.4,Matches
573,Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,43.6,53.1,82.2,781,267.7,0.26,1.04,25,36.5,40.6,89.9,6.88,11.5,59.9,0.06,0.04,0.03,0.52,2.99,0.52,0.19,5.19,Matches
574,Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,16.4,25.8,63.8,234.6,51.5,0.85,2.88,29.4,14.7,19.8,74.4,0.85,3.05,27.8,0,0.05,-0.05,0.85,1.02,0.34,0,1.69,Matches
575,David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,47.9,52.1,91.9,970.5,308.7,0.26,1.32,20,34.5,36.1,95.6,13.2,14.7,89.3,0,0,0,0,0.79,0,0,3.42,Matches
576,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,22.6,31.6,71.4,727.8,469.6,0.04,0.04,100,11,11.1,99.4,11.5,20.5,56.3,0,0,0,0,0.21,0.04,0,0,Matches
577,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18,11.1,18.7,59.2,149.4,28.8,0.61,1.39,44,9.56,15.3,62.5,0.89,2,44.4,0,0.05,-0.05,0.72,0.78,0.44,0.17,1.22,Matches
578,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,43.5,51.8,84.1,1028.4,366.1,0.27,0.54,50,26.1,29.3,88.9,17.2,21.9,78.4,0,0,0,0.14,2.57,0.27,0,2.7,Matches
579,Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,23.2,33.7,68.9,420.7,126.3,0.49,2.02,24.2,17.8,22.6,78.6,4.91,9.02,54.4,0.43,0.13,0.29,0.98,2.64,0.92,0.31,3.8,Matches
580,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,25,31.9,78.3,644.5,318.3,0,0.03,0,15.4,15.4,99.8,9.62,16.5,58.4,0,0,0,0,0.12,0,0,0,Matches
581,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,45.2,55.2,81.8,811.8,231,0.83,2.17,38.2,35.6,40.3,88.4,8.73,12.8,68.2,0.38,0.22,0.16,1.97,7.26,2.17,0.06,7.9,Matches
582,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,31.1,37.6,82.8,655.3,236.5,0.16,0.65,25,22.3,24.7,90.2,8.71,12.3,71.1,0,0,0,0,1.29,0.16,0,3.06,Matches
583,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,19.1,29.7,64.2,577.4,382.1,0.25,0.25,100,9.5,9.63,98.7,9.31,19.8,47,0,0,0,0.06,0.25,0.06,0,0,Matches
584,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,41,55.5,73.8,713.6,352.9,0.59,2.9,20.5,33.2,38,87.3,7.19,14.6,49.3,0,0.06,-0.06,0.76,3.8,0.73,0.5,7.16,Matches
585,Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,42.3,54.8,77.1,885.8,333.2,0.26,1.14,23.1,31.7,35.4,89.5,10.4,18.3,56.6,0,0.06,-0.06,0.96,3.68,1.36,0.44,6.54,Matches
586,Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,18,50.8,59.6,85.4,1083.7,321.1,0.11,1.22,9.1,36.2,39.8,90.8,14.6,18.5,78.7,0.17,0.09,0.08,1.17,7.61,1.22,0,6.33,Matches
587,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1,41,49,83.7,737,334,1,3,33.3,32,34,94.1,8,12,66.7,0,0.2,-0.2,3,0,0,0,5,Matches
588,Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,23.9,32.3,74.1,425.4,117.1,0.52,1.65,31.3,18.4,21.6,84.8,5.05,8.97,56.3,0,0.05,-0.05,0.72,2.78,0.21,0,3.2,Matches
589,Juan Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,69.6,78.7,88.5,1279.3,474.6,0.75,1.66,44.9,56.2,59.8,94,12.7,17.3,73.7,0.17,0.15,0.02,1.53,5.8,1.76,0.64,8.78,Matches
590,Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,19.1,27.2,70.3,291.6,75.2,1.09,2.48,43.9,15.3,20.4,75.1,2.67,4.24,62.9,0.06,0.08,-0.02,1.03,1.09,0.48,0.24,1.88,Matches
591,Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36,26.1,39.1,66.7,444.5,177.6,0.67,2.83,23.5,21.3,26.5,80.4,4.11,9.78,42,0.14,0.13,0.01,1.36,2.42,1.42,0.67,5.86,Matches
592,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,15.7,30.5,51.4,713.3,530.4,0,0,,3.63,3.7,98,12,26.8,45,0,0,0,0,1,0.04,0,0.11,Matches
593,Jaume Cuéllar,bo BOL,"FW,MF",SPAL,it Serie A,17,2001,0.8,17.5,20,87.5,290,17.5,0,0,,13.8,16.3,84.6,3.75,3.75,100,0,0,0,0,0,0,0,1.25,Matches
594,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,45.9,56.5,81.3,899.1,221.5,0.29,2.35,12.5,33.2,37.1,89.7,12.4,17.1,72.4,0,0.06,-0.06,1.18,4.71,1.18,0.29,5.88,Matches
595,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,14.5,21.2,68.2,319.2,108.2,0.36,1.2,30,9.88,13.9,71.3,4.22,6.14,68.6,0,0.05,-0.05,0.84,2.29,0.96,0.12,3.37,Matches
596,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,23.9,31,77.1,389.7,90.6,0.65,2.26,28.6,20,24.5,81.6,3.23,4.19,76.9,0.32,0.1,0.23,0.97,1.94,1.61,0.65,3.87,Matches
597,Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,80,120,66.7,1140,530,0,0,,80,100,80,0,20,0,0,0,0,0,10,0,0,10,Matches
598,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,12.9,18.2,71,182.2,31.2,0.43,1.4,30.8,11.2,14.1,79.4,1.29,2.69,48,0.11,0.11,0,0.75,0.22,0.86,0.11,0.97,Matches
599,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,11.5,17,67.9,147.6,20,0.61,0.61,100,10.9,14.8,73.5,0,1.52,0,0,0,0,0.3,0.61,0,0,0.3,Matches
600,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,57,68.2,83.5,1150.1,287.4,0.46,1.52,30,42.5,46.4,91.7,14,20.3,68.9,0.15,0.14,0.02,1.78,5.23,0.41,0.1,7.06,Matches
601,Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,40.4,48.2,83.9,947.6,366.9,0.29,0.73,38.9,24.9,27.6,90,15.3,19.8,77.1,0.04,0.01,0.03,0.12,2.82,0.12,0,3.55,Matches
602,Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,40,50,80,520,15,0,0,,40,50,80,0,0,,0,0,0,0,0,0,0,0,Matches
603,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,1991,8.7,22,29.8,73.7,329.3,95.3,0.69,2.76,25,18.9,22.5,83.7,2.41,4.48,53.8,0,0.11,-0.11,1.61,0.92,1.15,0.34,2.87,Matches
604,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,49.2,57.8,85.1,898.8,295.4,0.71,1.6,44,39,43,90.8,9.49,13.2,71.8,0,0.09,-0.09,0.51,2.76,0.83,0.19,4.94,Matches
605,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0,4,5,80,49,14,0,0,,4,5,80,0,0,,0,0,0,0,0,0,0,0,Matches
606,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,22.5,27.5,81.8,287.5,36.3,2.5,5,50,18.8,20,93.8,1.25,2.5,50,0,0.13,-0.13,2.5,0,1.25,0,1.25,Matches
607,Jacopo Da Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0,2,2,100,24,9,0,0,,2,2,100,0,0,,0,0,0,1,0,0,0,0,Matches
608,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,42.9,49,87.5,967.6,277,0.24,0.64,37.5,28.3,29.9,94.6,14.3,18.4,77.8,0.08,0.04,0.04,0.16,2.17,0.12,0.04,1.97,Matches
609,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,40,46.2,86.5,671.5,150.8,0.96,1.6,60,32.6,35.8,91.1,6.48,8.88,73,0.32,0.06,0.26,0.96,4.16,0.4,0,3.76,Matches
610,Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,22.2,30.6,72.7,323.3,94.8,1.41,3.53,40,17.5,22.2,78.8,3.29,4.82,68.3,0,0.07,-0.07,0.71,2.12,0.94,0,3.18,Matches
611,Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,46.7,63.3,73.7,810,250,0,6.67,0,43.3,50,86.7,3.33,6.67,50,0,0,0,0,0,10,0,10,Matches
612,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,50.3,55.9,89.9,746.9,190.4,0.54,1.08,50,45.4,48.5,93.6,4.32,6.35,68.1,0,0.08,-0.08,0.68,0.95,1.08,0.54,2.97,Matches
613,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,72.1,80,90.1,1340.8,256.8,0.81,1.94,41.7,56.1,60.5,92.8,15.2,17.6,86.2,0.16,0.06,0.1,0.97,6.13,1.29,0,6.13,Matches
614,Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,50,60,83.3,1210,60,0,0,,30,40,75,20,20,100,0,0,0,0,0,0,0,0,Matches
615,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,35,42.1,83.3,749.6,295.4,0.18,1.53,11.8,24.5,26.5,92.5,10.4,14.1,73.7,0,0,0,0.09,1.8,0.27,0.09,2.88,Matches
