Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,1.5,1.51,1.5,0,0,0,0,0.33,0.34,0.33,0,0,0,0,0,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,1.48,1.47,1.2,0.21,0,0,0.07,0.28,0.28,0.28,0,0,0,0,0,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,1.33,1.29,1.33,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,1.53,1.53,1.18,0,0.13,0.13,0.09,0.44,0.44,0.26,0,0.04,0.04,0.09,0,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0.39,0.39,0.35,0.04,0,0,0,0.12,0.12,0.12,0,0,0,0,0,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,3.64,3.64,2.73,0,0.91,0,0,0.91,0.91,0.91,0,0,0,0,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,0.47,0.47,0.25,0,0.04,0.14,0.04,0.07,0.07,0.04,0,0,0.04,0,0,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6,2.33,2.32,1.5,0,0.33,0.33,0.17,0.5,0.5,0.17,0,0.17,0.17,0,0,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0.31,0.32,0.31,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1.37,1.37,1.19,0.07,0.04,0.07,0,0.07,0.07,0.04,0.04,0,0,0,0,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,1.67,1.67,1.47,0.06,0.06,0,0.06,0.19,0.19,0.19,0,0,0,0,0,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,2.31,2.3,1.62,0,0.15,0.54,0,0.23,0.23,0.08,0,0,0.15,0,0,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,1.85,1.85,1.81,0.04,0,0,0,0.21,0.21,0.21,0,0,0,0,0,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5.87,5.87,3.9,1.07,0.46,0.35,0.06,0.81,0.81,0.64,0.06,0,0.06,0.03,0.03,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,0.44,0.44,0.44,0,0,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2.71,2.7,2.29,0.21,0.1,0.1,0,0.52,0.52,0.52,0,0,0,0,0,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1.55,1.56,1.36,0,0,0.1,0.1,0.29,0.29,0.19,0,0,0,0.1,0,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2.37,2.38,1.69,0.17,0.34,0,0.17,0.51,0.51,0.34,0.17,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,2.84,2.85,2.23,0.25,0.15,0.15,0.05,0.41,0.41,0.3,0,0.1,0,0,0,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2.06,2.06,1.12,0.28,0.23,0.19,0.23,0.19,0.19,0.19,0,0,0,0,0,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,0.58,0.58,0.55,0,0,0.03,0,0.06,0.06,0.06,0,0,0,0,0,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1.22,1.22,1.08,0.14,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0.83,0.83,0,0,0,0,0.83,0,0,0,0,0,0,0,0,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,1.05,1.05,1.05,0,0,0,0,0.53,0.52,0.53,0,0,0,0,0,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1.59,1.59,1.59,0,0,0,0,0.12,0.12,0.12,0,0,0,0,0,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0.3,0.3,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4.28,4.28,2.58,1.42,0.08,0.14,0.03,0.68,0.68,0.4,0.2,0,0.06,0,0.03,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,2.24,2.25,1.72,0,0.23,0.17,0.11,0.11,0.12,0.11,0,0,0,0,0,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.14,0.14,0.14,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,2.82,2.81,2.54,0,0.28,0,0,0.21,0.21,0.21,0,0,0,0,0,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,2.59,2.58,1.9,0.05,0.44,0.1,0.1,0.59,0.58,0.24,0,0.24,0.1,0,0,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,2.29,2.29,1.73,0,0.21,0.15,0.21,0.06,0.06,0.06,0,0,0,0,0,Matches
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,2.96,2.96,2.26,0.31,0.06,0.13,0.19,0.38,0.38,0.25,0,0,0,0.13,0,Matches
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,1.11,1.11,0.78,0.26,0,0,0.07,0.2,0.2,0.13,0.07,0,0,0,0,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,0.87,0.86,0.79,0,0.08,0,0,0,0,0,0,0,0,0,0,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0.58,0.58,0.54,0,0,0,0.03,0.03,0.03,0.03,0,0,0,0,0,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0.47,0.47,0.37,0.03,0,0.07,0,0,0,0,0,0,0,0,0,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,2.27,2.27,1.67,0,0.38,0.15,0.08,0.08,0.08,0,0,0,0,0.08,0,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0.23,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1.38,1.38,0.96,0,0.16,0.11,0.16,0.11,0.11,0.11,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,1.43,1.36,1.43,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,1.04,1.04,0.88,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0,0,0,0,0,Matches
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,3.77,3.78,2.79,0,0.66,0.16,0.16,0,0,0,0,0,0,0,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0.61,0.61,0.55,0,0,0.06,0,0.06,0.06,0.06,0,0,0,0,0,Matches
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,4.32,4.31,2.77,1.07,0.29,0.1,0.1,0.44,0.44,0.39,0,0,0,0.05,0,Matches
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,3.04,3.06,1.96,0,0.71,0.18,0.18,0,0,0,0,0,0,0,0,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,2.22,2.22,1.94,0,0.15,0,0.12,0.15,0.15,0.12,0,0,0,0.03,0,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,0.71,0.71,0.71,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1.05,1.08,1.05,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,3.43,3.43,2.65,0.12,0.3,0.18,0.18,0.48,0.48,0.42,0,0.06,0,0,0,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,1.58,1.58,1.17,0,0.13,0.17,0.07,0.3,0.3,0.07,0,0.07,0.13,0,0.03,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,1.25,1.23,1.25,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1.71,1.71,1.49,0,0.13,0.04,0.04,0.18,0.18,0.18,0,0,0,0,0,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,2.69,2.69,1.89,0.17,0.14,0.31,0.17,0.21,0.21,0.17,0,0,0,0.03,0,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0.96,0.96,0.88,0,0,0,0.09,0,0,0,0,0,0,0,0,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,2.05,2.05,1.59,0,0.11,0,0.34,0.23,0.23,0.11,0,0,0,0.11,0,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
