Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
582,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,0.48,0.49,0.16,0,0.16,0,0.16,0,0,0,0,0,0,0,0,Matches
583,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,Matches
584,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,1.52,1.52,1.09,0.2,0.07,0.03,0.13,0.07,0.07,0.03,0,0.03,0,0,0,Matches
585,Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,1.49,1.49,1.14,0.31,0,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
586,Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,18,2.28,2.28,1.89,0.06,0.06,0.17,0.11,0.28,0.28,0.28,0,0,0,0,0,Matches
587,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,Matches
588,Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,1.44,1.44,0.93,0.1,0.1,0.1,0.21,0,0,0,0,0,0,0,0,Matches
589,Juan Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,3.49,3.49,3.02,0.07,0.14,0.03,0.24,0.34,0.34,0.31,0,0,0,0.03,0,Matches
590,Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,2.55,2.54,1.52,0,0.61,0.12,0.3,0.36,0.36,0.12,0,0.12,0.06,0.06,0,Matches
591,Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36,2.47,2.47,1.97,0.17,0.06,0.06,0.22,0.22,0.22,0.19,0,0,0,0.03,0,Matches
592,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,0.11,0.11,0.04,0.07,0,0,0,0,0,0,0,0,0,0,0,Matches
593,Jaume Cuéllar,bo BOL,"FW,MF",SPAL,it Serie A,17,2001,0.8,1.25,1.29,1.25,0,0,0,0,0,0,0,0,0,0,0,0,Matches
594,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,4.12,4.1,3.24,0.29,0.29,0,0.29,0.88,0.88,0.59,0,0,0,0.29,0,Matches
595,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,3.37,3.39,1.93,0,0.72,0.36,0.24,0.48,0.48,0.12,0,0.12,0,0.12,0.12,Matches
596,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,4.19,4.19,2.26,0,0,0.97,0.97,0.32,0.32,0,0,0,0.32,0,0,Matches
597,Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
598,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,1.94,1.93,1.29,0,0,0.32,0.32,0.32,0.32,0.22,0,0,0,0.11,0,Matches
599,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,0.61,0.61,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,Matches
600,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,3.4,3.4,1.62,1.47,0,0.25,0.05,0.51,0.51,0.2,0.25,0,0.05,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
601,Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,0.61,0.61,0.41,0.08,0,0.12,0,0.12,0.12,0.04,0,0,0.08,0,0,Matches
602,Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
603,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,1991,8.7,2.53,2.54,2.07,0,0.34,0,0.11,0,0,0,0,0,0,0,0,Matches
604,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,1.03,1.03,0.77,0.06,0.06,0.06,0.06,0,0,0,0,0,0,0,0,Matches
605,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
606,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,5,5,3.75,0,0,1.25,0,0,0,0,0,0,0,0,0,Matches
607,Jacopo Da Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
608,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,0.52,0.52,0.48,0,0,0.04,0,0.08,0.08,0.08,0,0,0,0,0,Matches
609,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,2.08,2.09,1.84,0.08,0,0.08,0.08,0.32,0.32,0.24,0,0,0.08,0,0,Matches
610,Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,3.41,3.41,2.12,0,0.12,0.24,0.94,0.35,0.35,0.24,0,0,0,0.12,0,Matches
611,Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,3.33,3.46,3.33,0,0,0,0,0,0,0,0,0,0,0,0,Matches
612,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,1.22,1.21,0.81,0.14,0.27,0,0,0.14,0.13,0.14,0,0,0,0,0,Matches
613,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,2.42,2.42,1.94,0,0.16,0.32,0,0.48,0.48,0.48,0,0,0,0,0,Matches
614,Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
615,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,0.54,0.54,0.36,0.09,0,0.09,0,0,0,0,0,0,0,0,0,Matches
616,Christian Dalle Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
617,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
618,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,2.86,2.86,2.14,0.71,0,0,0,0,0,0,0,0,0,0,0,Matches
619,Danilo,br BRA,DF,Juventus,it Serie A,28,1991,16,2.19,2.19,1.81,0,0.06,0.19,0.13,0.25,0.25,0.19,0,0,0.06,0,0,Matches
620,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,0.5,0.5,0.43,0,0.07,0,0,0.07,0.07,0.07,0,0,0,0,0,Matches
621,Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,0.97,0.97,0.97,0,0,0,0,0.32,0.32,0.32,0,0,0,0,0,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,0.71,0.71,0.62,0,0,0.1,0,0.05,0.05,0,0,0,0.05,0,0,Matches
623,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
624,Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,2.14,2.13,1.59,0.27,0.14,0.14,0,0.14,0.14,0.14,0,0,0,0,0,Matches
625,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,3.23,3.23,2.27,0.64,0.04,0.12,0.12,0.28,0.28,0.24,0,0,0,0,0.04,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
626,Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,29.8,1.31,1.31,0.94,0.2,0.03,0.03,0.1,0.1,0.1,0.1,0,0,0,0,0,Matches
627,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,2.5,2.5,2.18,0,0.16,0,0.16,0.32,0.32,0.28,0,0.04,0,0,0,Matches
628,Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,1.07,1.07,0.94,0.06,0,0.06,0,0,0,0,0,0,0,0,0,Matches
629,Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,1.07,1.07,0.76,0,0.09,0.13,0.09,0,0,0,0,0,0,0,0,Matches
630,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,3.28,3.28,1.8,0,0.16,0.66,0.66,0.49,0.49,0.16,0,0,0.16,0.16,0,Matches
631,Pawe? Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,0.65,0.65,0.39,0.13,0,0.13,0,0,0,0,0,0,0,0,0,Matches
632,Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,0.46,0.46,0.27,0,0,0.19,0,0,0,0,0,0,0,0,0,Matches
633,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31,7.1,7.09,5.06,1.26,0.35,0.13,0.29,1.06,1.06,0.81,0.06,0.06,0.03,0.1,0,Matches
634,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,16.7,0.3,0.3,0.3,0,0,0,0,0.18,0.18,0.18,0,0,0,0,0,Matches
635,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,31.4,4.36,4.37,3.03,0.86,0.19,0.13,0.16,0.48,0.48,0.19,0.13,0.06,0.06,0.03,0,Matches
636,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,2.12,2.1,1.54,0,0.38,0,0.19,0.19,0.19,0.19,0,0,0,0,0,Matches
637,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,1.33,1.32,1.08,0.12,0.04,0.04,0.04,0.04,0.04,0,0,0,0.04,0,0,Matches
638,Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,1.82,1.82,1.62,0,0.07,0.07,0.07,0.14,0.13,0.14,0,0,0,0,0,Matches
639,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,1.83,1.83,1.37,0.25,0.2,0,0,0.1,0.1,0.05,0.05,0,0,0,0,Matches
640,Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,2.02,2.02,1.7,0,0,0.12,0.2,0.2,0.2,0.16,0,0,0,0.04,0,Matches
641,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,2.2,2.2,1.56,0,0.28,0.09,0.28,0.55,0.55,0.37,0,0.09,0.09,0,0,Matches
642,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
643,Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8,1.63,1.63,1.5,0,0,0,0.13,0.13,0.13,0.13,0,0,0,0,0,Matches
644,Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,3.19,3.19,2.32,0,0.36,0.14,0.36,0.43,0.43,0.43,0,0,0,0,0,Matches
645,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,1.58,1.58,1.15,0.07,0.29,0,0.07,0,0,0,0,0,0,0,0,Matches
646,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,0.98,0.98,0.87,0,0,0.11,0,0.22,0.22,0.22,0,0,0,0,0,Matches
647,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,0.67,0.66,0.67,0,0,0,0,0,0,0,0,0,0,0,0,Matches
648,Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,11.2,1.52,1.52,1.43,0.09,0,0,0,0.09,0.09,0.09,0,0,0,0,0,Matches
649,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,3.16,3.16,1.9,0.12,0.36,0.32,0.43,0.4,0.39,0.12,0,0.08,0.08,0.08,0.04,Matches
650,Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,1.29,1.29,1.21,0,0,0.08,0,0.15,0.15,0.15,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
651,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,2.02,2.02,1.52,0,0.12,0.12,0.25,0.29,0.29,0.16,0,0.04,0,0.08,0,Matches
652,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4,4.5,4.54,2.5,0.5,1.25,0,0.25,0.5,0.5,0.25,0,0.25,0,0,0,Matches
653,Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.6,0.43,0.43,0.43,0,0,0,0,0.22,0.22,0.22,0,0,0,0,0,Matches
654,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,4.23,4.23,2.11,1.71,0.17,0.17,0.06,0.57,0.57,0.23,0.34,0,0,0,0,Matches
655,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,2.37,2.38,2.3,0.07,0,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
656,Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,10,1.8,1.8,1.7,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,Matches
657,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,0.34,0.34,0.34,0,0,0,0,0.08,0.08,0.08,0,0,0,0,0,Matches
658,Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,0.61,0.61,0.58,0,0.03,0,0,0.03,0.03,0.03,0,0,0,0,0,Matches
659,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,2.24,2.24,1.49,0,0.3,0.3,0.15,0.45,0.45,0.3,0,0,0.15,0,0,Matches
660,Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,24.9,0.96,0.96,0.76,0.04,0,0.04,0.12,0.08,0.08,0.08,0,0,0,0,0,Matches
661,Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,20.6,2.48,2.48,1.8,0.19,0.15,0.24,0.1,0.15,0.15,0.05,0,0,0,0.1,0,Matches
662,Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,4.6,4.6,1.86,1.06,0.88,0.27,0.53,0.53,0.53,0.18,0,0.27,0,0.09,0,Matches
663,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,11.4,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,Matches
664,Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,20.8,0.91,0.91,0.67,0,0,0.1,0.14,0.14,0.14,0.05,0,0,0,0.1,0,Matches
665,Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,0.95,0.97,0.95,0,0,0,0,0,0,0,0,0,0,0,0,Matches
666,Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,1.76,1.8,0.59,0,1.18,0,0,0,0,0,0,0,0,0,0,Matches
667,Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,3.78,3.78,2.19,0.43,0.6,0.3,0.26,0.3,0.3,0.21,0,0.04,0,0.04,0,Matches
668,Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,2.17,2.21,1.74,0,0,0.43,0,0.87,0.88,0.43,0,0,0.43,0,0,Matches
669,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,14.4,1.32,1.32,0.9,0,0,0.21,0.21,0.14,0.14,0.07,0,0,0,0.07,0,Matches
670,Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,12,3.08,3.08,1.83,0.25,0.33,0.17,0.5,0.17,0.17,0.08,0,0,0,0.08,0,Matches
671,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,33,1.88,1.88,1.67,0.06,0.03,0.06,0.06,0.18,0.18,0.15,0,0,0.03,0,0,Matches
672,Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,6.13,6.12,4.41,0.99,0.41,0.18,0.09,1.13,1.13,0.77,0.18,0.09,0.05,0,0.05,Matches
673,Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,2.09,2.09,1.54,0,0.25,0.1,0.2,0.25,0.25,0.15,0,0.05,0,0.05,0,Matches
674,Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,1995,13.2,1.89,1.89,1.52,0.15,0.15,0,0.08,0.3,0.3,0.23,0,0.08,0,0,0,Matches
675,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,1999,19.7,3.4,3.4,2.44,0.1,0.61,0.1,0.15,0.51,0.51,0.36,0,0.1,0,0.05,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
676,Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,22,1996,16,0.38,0.37,0.31,0.06,0,0,0,0,0,0,0,0,0,0,0,Matches
677,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,15.2,0.46,0.46,0.39,0,0,0.07,0,0,0,0,0,0,0,0,0,Matches
678,Abdou Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23,1996,13.3,0.75,0.75,0.53,0.08,0,0.15,0,0.08,0.07,0.08,0,0,0,0,0,Matches
679,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,1995,24.4,2.25,2.25,1.43,0,0.45,0.2,0.16,0.33,0.33,0.16,0,0.12,0.04,0,0,Matches
680,Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,0.98,0.98,0.92,0,0.06,0,0,0.17,0.17,0.17,0,0,0,0,0,Matches
681,Moussa Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
682,Raphael Dias Belloli,br BRA,"MF,FW",Rennes,fr Ligue 1,23,1996,18.8,4.89,4.9,2.98,0.69,0.8,0.16,0.21,0.37,0.37,0.32,0,0,0,0,0.05,Matches
683,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
684,Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,1997,16.9,1.95,1.96,1.83,0,0,0.06,0.06,0.12,0.12,0.12,0,0,0,0,0,Matches
685,Brahim Díaz,es ESP,"FW,MF",Real Madrid,es La Liga,19,1999,0.7,2.86,2.77,1.43,0,0,0,1.43,0,0,0,0,0,0,0,0,Matches
686,Víctor Díaz,es ESP,DF,Granada,es La Liga,31,1988,32,1.44,1.44,1.03,0.34,0,0.03,0,0.28,0.28,0.16,0.06,0,0.03,0,0.03,Matches
687,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,1989,20.8,0.38,0.39,0.24,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,Matches
688,Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,1994,14.9,0.67,0.67,0.6,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,Matches
689,Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,1993,33.7,3.09,3.09,1.72,1.13,0.06,0.09,0.09,0.33,0.33,0.24,0.09,0,0,0,0,Matches
690,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,28,1991,38,0.58,0.58,0.5,0,0,0.03,0.05,0.13,0.13,0.11,0,0,0,0.03,0,Matches
691,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,1993,11.2,1.43,1.43,1.25,0.09,0.09,0,0,0,0,0,0,0,0,0,0,Matches
692,Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,1998,14.5,1.72,1.72,0.97,0.21,0.41,0,0.14,0.28,0.28,0.14,0,0.14,0,0,0,Matches
693,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,1997,5.8,3.1,3.11,1.9,1.03,0,0.17,0,0.69,0.69,0.52,0.17,0,0,0,0,Matches
694,Federico Dimarco,it ITA,"DF,MF",Inter,it Serie A,21,1997,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
695,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,9.9,2.63,2.62,2.32,0.1,0,0.1,0.1,0.2,0.2,0.2,0,0,0,0,0,Matches
696,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,7.4,1.49,1.49,0.81,0.14,0.27,0,0.27,0.14,0.14,0,0,0.14,0,0,0,Matches
697,Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,0.29,0.29,0.2,0.03,0,0.07,0,0.03,0.03,0.03,0,0,0,0,0,Matches
698,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25,1.08,1.08,1,0,0,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
699,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,1.54,1.5,1.54,0,0,0,0,0.77,0.75,0.77,0,0,0,0,0,Matches
700,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27,0.63,0.63,0.59,0.04,0,0,0,0.04,0.04,0,0.04,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
701,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,0.27,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,Matches
702,Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34,0.29,0.29,0.26,0.03,0,0,0,0,0,0,0,0,0,0,0,Matches
703,Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,10.3,3.79,3.78,1.84,0,1.07,0.1,0.78,0.58,0.58,0.29,0,0.19,0,0.1,0,Matches
704,Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,1992,9.5,0.32,0.32,0.32,0,0,0,0,0.11,0.11,0.11,0,0,0,0,0,Matches
705,Alexander Djiku,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,24,1994,22.9,0.61,0.61,0.57,0,0,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
706,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,30.9,0.84,0.84,0.71,0.03,0,0.1,0,0.03,0.03,0,0,0,0.03,0,0,Matches
707,Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,10,9.31,6.67,0,3.33,0,0,3.33,3.1,3.33,0,0,0,0,0,Matches
708,Marko Dmitrovi?,rs SRB,GK,Eibar,es La Liga,27,1992,35,0.23,0.23,0.06,0.14,0,0.03,0,0,0,0,0,0,0,0,0,Matches
709,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,2.03,2.03,1.52,0.03,0.19,0.22,0.06,0.48,0.48,0.22,0,0.1,0.13,0.03,0,Matches
710,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21,1.24,1.24,0.67,0,0.14,0.19,0.24,0.29,0.29,0.14,0,0.05,0.05,0.05,0,Matches
711,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,3.75,3.65,2.5,0.63,0.63,0,0,0,0,0,0,0,0,0,0,Matches
712,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,0.07,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,Matches
713,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,1998,7.8,2.56,2.58,2.44,0,0.13,0,0,0.13,0.13,0.13,0,0,0,0,0,Matches
714,Giulio Donati,it ITA,DF,Lecce,it Serie A,29,1990,19.6,2.09,2.1,1.68,0.1,0.1,0.1,0.1,0.31,0.31,0.15,0.05,0,0.05,0.05,0,Matches
715,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
716,Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,22,1996,6.8,1.76,1.77,0.74,0.15,0.59,0.29,0,0,0,0,0,0,0,0,0,Matches
717,Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.7,2.25,2.24,1.6,0,0.21,0.11,0.32,0.27,0.27,0.21,0,0,0,0.05,0,Matches
718,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,0.03,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,Matches
719,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,0.6,0.6,0.47,0.04,0,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
720,Mathieu Dossevi,tg TOG,"MF,FW",Toulouse,fr Ligue 1,31,1988,19.5,3.74,3.75,2.1,1.23,0.31,0.05,0.05,0.21,0.21,0.21,0,0,0,0,0,Matches
721,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,2.5,2.5,2.01,0,0.12,0.18,0.18,0.37,0.37,0.24,0,0.06,0.06,0,0,Matches
722,Abdoulaye Doucouré,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,2.28,2.28,1.68,0,0.28,0.23,0.09,0.17,0.17,0.11,0,0,0.06,0,0,Matches
723,Mamadou Doucouré,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
724,Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,24,1994,19.1,3.04,3.04,2.15,0.1,0.26,0.16,0.37,0.16,0.16,0.05,0,0.05,0,0.05,0,Matches
725,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5,1.4,1.4,1,0,0.4,0,0,0.4,0.4,0.4,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
726,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
727,Thomas Doyle,eng ENG,"MF,FW",Manchester City,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
