Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,0.09,0.47,0.09,20,0.47,0.09,0.2,1,0.09,0,0,0.07,0.07,0.13,0.03,0.03,0,0.06,0.06
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,0.99,4.53,1.55,34.2,4.52,1.55,0.19,0.56,0,0.12,0.19,0.86,0.71,0.16,0.14,0.16,0.15,1,0.86
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0,0.59,0.25,42.9,0.59,0.25,0,0,0,0,0,0.01,0.01,0.02,-0.01,-0.01,0.12,0.13,0.13
29,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.01,0.01,0.01
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,0.14,1.43,0.57,40,1.43,0.57,0.1,0.25,0,0,0,0.11,0.11,0.08,0.03,0.03,0.02,0.14,0.14
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,0.36,0.04,10,0.36,0.04,0,0,0,0,0,0.03,0.03,0.08,-0.03,-0.03,0.03,0.06,0.06
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0,0.52,0.09,16.7,0.52,0.09,0,0,0,0,0,0.02,0.02,0.03,-0.02,-0.02,0.1,0.11,0.11
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,0,0.33,0,0,0.34,0,0,,0,0,0,0,0,0.02,0,0,0.02,0.02,0.02
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0,0.28,0,0,0.28,0,0,,0,0,0,0.01,0.01,0.05,-0.01,-0.01,0.06,0.07,0.07
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,0,2,0,0,1.94,0,0,,0,0,0,0.07,0.07,0.04,-0.07,-0.07,0.03,0.11,0.11
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,0.35,1.92,0.79,40.9,1.92,0.79,0.16,0.39,0,0.04,0.04,0.27,0.23,0.12,0.08,0.07,0.13,0.4,0.36
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,0.39,0.08,20,0.39,0.08,0,0,0,0,0,0.03,0.03,0.08,-0.03,-0.03,0.03,0.06,0.06
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,0,2.73,0,0,2.73,0,0,,0,0,0,0.18,0.18,0.07,-0.18,-0.18,0,0.18,0.18
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,0.07,0.86,0.25,29.2,0.86,0.25,0.08,0.29,0,0,0,0.09,0.09,0.11,-0.02,-0.02,0.02,0.11,0.11
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6,0.33,1.5,0.67,44.4,1.49,0.66,0.22,0.5,0,0,0,0.17,0.17,0.12,0.17,0.17,0.2,0.37,0.37
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,0.16,0,0,0.16,0,0,,0,0,0,0.01,0.01,0.06,-0.01,-0.01,0,0.01,0.01
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0.04,0.65,0.25,38.9,0.65,0.25,0.06,0.14,0.22,0,0,0.03,0.03,0.04,0.01,0.01,0.07,0.1,0.1
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,0.64,0.26,40,0.64,0.26,0,0,0,0,0,0.04,0.04,0.06,-0.04,-0.04,0.07,0.11,0.11
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,0.54,3.62,1.38,38.3,3.6,1.38,0.13,0.33,0,0.08,0.08,0.55,0.48,0.13,-0.01,-0.02,0.16,0.7,0.64
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,0.08,0.29,0.12,42.9,0.29,0.12,0.29,0.67,0,0,0,0.05,0.05,0.15,0.04,0.04,0.14,0.18,0.18
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,0.17,2.86,0.78,27.3,2.86,0.78,0.05,0.19,0.32,0.03,0.03,0.21,0.18,0.06,-0.03,-0.04,0.31,0.52,0.5
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,0.03,0.39,0.11,28.6,0.39,0.11,0.07,0.25,0,0,0,0.04,0.04,0.1,-0.01,-0.01,0.01,0.05,0.05
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,0,1.04,0.21,20,1.04,0.21,0,0,0,0,0,0.06,0.06,0.06,-0.06,-0.06,0.19,0.26,0.26
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,0.39,2.43,0.78,32,2.44,0.78,0.16,0.5,0.1,0,0,0.31,0.31,0.13,0.08,0.08,0.14,0.45,0.45
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0.85,2.54,1.19,46.7,2.55,1.19,0.33,0.71,0,0,0,0.64,0.64,0.25,0.2,0.2,0.17,0.81,0.81
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,0.15,0.96,0.41,42.1,0.97,0.41,0.16,0.38,0,0,0,0.13,0.13,0.13,0.03,0.03,0.05,0.18,0.18
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,0.09,1.54,0.37,24.2,1.54,0.37,0.06,0.25,0.42,0,0,0.08,0.08,0.05,0.01,0.01,0.04,0.12,0.12
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,0.06,0.49,0.15,31.3,0.49,0.15,0.13,0.4,0,0,0,0.03,0.03,0.07,0.03,0.03,0.03,0.07,0.07
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,0.05,0.09,0.05,50,0.09,0.05,0.5,1,0,0,0,0,0,0.07,0.04,0.04,0.06,0.07,0.07
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0.53,0.53,100,0.52,0.52,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.01
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,0.12,1.46,0.49,33.3,1.47,0.49,0.08,0.25,0,0,0,0.13,0.13,0.09,-0.01,-0.01,0.02,0.16,0.16
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.01,0.01,0.01
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,0.11,1.25,0.37,29.5,1.25,0.37,0.09,0.31,0.34,0,0,0.08,0.08,0.07,0.03,0.03,0.27,0.36,0.36
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,0.34,3.33,1.21,36.2,3.34,1.21,0.1,0.29,0.63,0,0,0.3,0.3,0.09,0.04,0.04,0.08,0.39,0.39
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.02,0.02,0.02
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,0.14,0.85,0.49,58.3,0.84,0.49,0.17,0.29,0,0,0,0.05,0.05,0.06,0.09,0.09,0.08,0.13,0.13
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,0.39,1.9,0.88,46.2,1.9,0.88,0.18,0.39,0,0.05,0.05,0.34,0.3,0.16,0.05,0.04,0.1,0.43,0.4
