Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
548,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,14,0.21,2.71,0.93,34.2,2.72,0.93,0.08,0.23,0,0,0,0.23,0.23,0.08,-0.01,-0.01,0.02,0.25,0.25
549,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.02,0.02,0.02
550,Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,0,0.05,0,0,0.05,0,0,,0,0,0,0,0,0.02,0,0,0.08,0.08,0.08
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
551,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15,0,0.6,0.13,22.2,0.6,0.13,0,0,0,0,0,0.02,0.02,0.03,-0.02,-0.02,0.06,0.08,0.08
552,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27,0.04,0.48,0.07,15.4,0.48,0.07,0.08,0.5,0,0,0,0.03,0.03,0.06,0.01,0.01,0.01,0.04,0.04
553,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,0,0.47,0.05,10,0.47,0.05,0,0,0,0,0,0.02,0.02,0.04,-0.02,-0.02,0.01,0.03,0.03
554,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1.4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
555,Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3,0,1,0.33,33.3,1,0.33,0,0,0,0,0,0.03,0.03,0.04,-0.03,-0.03,0.15,0.2,0.2
556,Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16,0.06,1.56,0.5,32,1.56,0.5,0.04,0.13,0,0,0,0.09,0.09,0.06,-0.03,-0.03,0.07,0.16,0.16
557,Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,0.59,2.88,1.17,40.6,2.88,1.17,0.2,0.5,0,0,0,0.43,0.43,0.15,0.15,0.15,0.07,0.5,0.5
558,Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,4.1,0.49,1.22,0.49,40,1.23,0.49,0.4,1,0,0,0,0.44,0.44,0.35,0.05,0.05,0.2,0.63,0.63
559,Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,0,1.38,0.34,25,1.38,0.34,0,0,0,0,0,0.21,0.21,0.16,-0.21,-0.21,0,0.22,0.22
560,Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29,0,0.62,0.17,27.8,0.62,0.17,0,0,0,0,0,0.06,0.06,0.09,-0.06,-0.06,0.02,0.08,0.08
561,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,16.6,0.72,2.71,1.2,44.4,2.71,1.2,0.27,0.6,0,0,0,0.43,0.43,0.16,0.29,0.29,0.1,0.53,0.53
562,Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,14.8,0.27,1.62,0.88,54.2,1.62,0.88,0.17,0.31,0.2,0,0,0.18,0.18,0.11,0.09,0.09,0.18,0.36,0.36
563,Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,3.9,0,0.51,0.26,50,0.52,0.26,0,0,0,0,0,0.03,0.03,0.03,-0.03,-0.03,0.21,0.23,0.23
564,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,22.9,0.22,1.92,0.74,38.6,1.92,0.74,0.11,0.29,0.04,0,0,0.29,0.29,0.15,-0.07,-0.07,0.18,0.47,0.47
565,Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,22.2,0.41,3.47,1.67,48.1,3.46,1.66,0.12,0.24,0.05,0,0,0.44,0.44,0.13,-0.04,-0.04,0.13,0.57,0.57
566,Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,0,0.49,0.19,40,0.48,0.19,0,0,0,0,0,0.02,0.02,0.03,-0.02,-0.02,0.02,0.04,0.04
567,Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,0,0.34,0,0,0.35,0,0,,0,0,0,0,0,0.01,0,0,0.03,0.03,0.03
568,Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2,0.5,1.5,1,66.7,1.49,0.99,0.33,0.5,0,0,0,0.4,0.4,0.25,0.1,0.1,0.1,0.48,0.48
569,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
570,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,0.06,1.04,0.26,25,1.04,0.26,0.06,0.25,0,0,0,0.08,0.08,0.08,-0.02,-0.02,0.24,0.32,0.32
571,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15,0.33,2.2,0.53,24.2,2.2,0.53,0.09,0.38,0,0.13,0.2,0.46,0.31,0.14,-0.13,-0.11,0.12,0.58,0.43
572,Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,0.11,2.25,0.9,40,2.24,0.9,0.05,0.13,0,0,0,0.12,0.12,0.06,-0.01,-0.01,0.38,0.5,0.5
573,Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,0,0.13,0.06,50,0.13,0.06,0,0,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.04,0.04,0.04
574,Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,0.17,3.22,1.19,36.8,3.24,1.2,0.05,0.14,0,0,0,0.27,0.27,0.09,-0.1,-0.1,0.05,0.33,0.33
575,David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,0,0.26,0,0,0.27,0,0,,0,0,0,0.03,0.03,0.14,-0.03,-0.03,0,0.04,0.04
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
576,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
577,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18,0.22,2.61,1.06,40.4,2.62,1.06,0.09,0.21,0,0,0,0.28,0.28,0.11,-0.06,-0.06,0.05,0.33,0.33
578,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,0,0.68,0.14,20,0.68,0.14,0,0,0,0,0,0.05,0.05,0.09,-0.05,-0.05,0,0.06,0.06
579,Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,0.18,2.09,0.67,32.4,2.09,0.68,0.09,0.27,0.12,0,0,0.12,0.12,0.06,0.07,0.07,0.13,0.25,0.25
580,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,0,0.03,0.03,100,0.03,0.03,0,0,0,0,0,0,0,0.06,0,0,0,0,0
581,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,0.51,3.57,1.66,46.4,3.57,1.66,0.13,0.27,0.13,0.06,0.06,0.49,0.45,0.12,0.02,0,0.22,0.71,0.67
582,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,0,0.32,0.16,50,0.32,0.16,0,0,0,0,0,0.02,0.02,0.04,-0.02,-0.02,0,0.01,0.01
583,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
584,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,0.1,0.59,0.17,27.8,0.59,0.17,0.17,0.6,0.23,0,0,0.04,0.04,0.07,0.06,0.06,0.06,0.1,0.1
585,Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,0.35,0.57,0.09,15.4,0.57,0.09,0.08,0.5,0.04,0.31,0.39,0.32,0.01,0.03,0.04,0.03,0.06,0.38,0.08
586,Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,18,0.06,1.61,0.5,31,1.62,0.5,0.03,0.11,0,0,0,0.07,0.07,0.04,-0.01,-0.01,0.09,0.16,0.16
587,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.05,0.08,0.08
588,Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,0,0.72,0.31,42.9,0.72,0.31,0,0,0.21,0,0,0.02,0.02,0.03,-0.02,-0.02,0.15,0.15,0.15
589,Juan Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,0.07,0.68,0.17,25,0.68,0.17,0.1,0.4,0,0,0,0.05,0.05,0.07,0.02,0.02,0.15,0.2,0.2
590,Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,0.3,2.73,0.85,31.1,2.72,0.85,0.11,0.36,0,0,0,0.26,0.26,0.1,0.04,0.04,0.08,0.34,0.34
591,Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36,0.03,0.86,0.17,19.4,0.86,0.17,0.03,0.17,0.06,0,0,0.05,0.05,0.06,-0.02,-0.02,0.13,0.18,0.18
592,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
593,Jaume Cuéllar,bo BOL,"FW,MF",SPAL,it Serie A,17,2001,0.8,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
594,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,0.29,3.53,0.29,8.3,3.52,0.29,0.08,1,0.29,0,0,0.18,0.18,0.05,0.12,0.12,0.05,0.23,0.23
595,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,0.72,4.22,1.81,42.9,4.23,1.81,0.17,0.4,0.12,0,0,0.4,0.4,0.09,0.33,0.33,0.05,0.44,0.44
596,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,0,5.16,2.26,43.8,5.16,2.26,0,0,0,0,0,0.71,0.71,0.14,-0.71,-0.71,0.09,0.79,0.79
597,Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
598,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,0.43,2.37,1.29,54.5,2.36,1.29,0.18,0.33,0,0,0,0.44,0.44,0.19,-0.01,-0.01,0.01,0.74,0.74
599,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,0.61,3.33,0.91,27.3,3.33,0.91,0.18,0.67,0,0,0,0.73,0.73,0.22,-0.12,-0.12,0.11,0.55,0.55
600,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,0.36,2.69,0.76,28.3,2.69,0.76,0.04,0.13,1.02,0.25,0.25,0.31,0.12,0.05,0.04,-0.02,0.14,0.45,0.26
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
601,Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,0.04,0.45,0.24,54.5,0.45,0.24,0.09,0.17,0,0,0,0.05,0.05,0.11,-0.01,-0.01,0.01,0.07,0.07
602,Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
603,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,1991,8.7,0.23,0.69,0.34,50,0.69,0.35,0.33,0.67,0,0,0,0.07,0.07,0.1,0.16,0.16,0.12,0.18,0.18
604,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,0.26,0.45,0.26,57.1,0.45,0.26,0.57,1,0,0,0,0.12,0.12,0.26,0.14,0.14,0.09,0.21,0.21
605,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0,0,1,0,0,30,0,0,,0,0,0,0,0,0.03,0,0,0,1.02,1.02
606,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,0,2.5,0,0,2.5,0,0,,0,0,0,0,0,0.02,0,0,0.13,0.19,0.19
607,Jacopo Da Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,2.1,2.1,2.1
608,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,0.04,0.24,0.12,50,0.24,0.12,0.17,0.33,0,0,0,0.02,0.02,0.08,0.02,0.02,0.04,0.06,0.06
609,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,0.08,0.64,0.24,37.5,0.64,0.24,0.13,0.33,0,0,0,0.06,0.06,0.1,0.02,0.02,0.06,0.12,0.12
610,Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,0.47,2.71,1.18,43.5,2.7,1.17,0.17,0.4,0,0,0,0.35,0.35,0.13,0.12,0.12,0,0.47,0.47
611,Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,0,6.67,0,0,6.92,0,0,,0,0,0,0.33,0.33,0.07,-0.33,-0.33,0.07,0.41,0.41
612,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,0,0.27,0,0,0.27,0,0,,0,0,0,0,0,0.02,0,0,0.08,0.08,0.08
613,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,0,2.1,0.65,30.8,2.1,0.65,0,0,0,0,0,0.18,0.18,0.08,-0.18,-0.18,0.06,0.24,0.24
614,Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
615,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,0,0.54,0.18,33.3,0.54,0.18,0,0,0,0,0,0.05,0.05,0.1,-0.05,-0.05,0,0.06,0.06
616,Christian Dalle Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
617,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,1.43,0,0,1.34,0,0,,0,0,0,0.29,0.29,0.16,-0.29,-0.29,0,0.22,0.22
618,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.05,0.05,0.05
619,Danilo,br BRA,DF,Juventus,it Serie A,28,1991,16,0.13,0.88,0.25,28.6,0.87,0.25,0.14,0.5,0,0,0,0.04,0.04,0.05,0.08,0.08,0.04,0.08,0.08
620,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,0,0.57,0.14,25,0.57,0.14,0,0,0,0,0,0.03,0.03,0.05,-0.03,-0.03,0.03,0.06,0.06
621,Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,0,0.32,0,0,0.32,0,0,,0,0,0,0.03,0.03,0.09,-0.03,-0.03,0.07,0.1,0.1
622,Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,0.05,0.9,0.29,31.6,0.9,0.29,0.05,0.17,0.05,0,0,0.06,0.06,0.06,-0.01,-0.01,0.01,0.07,0.07
623,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
624,Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,0.07,1.76,0.31,17.3,1.76,0.3,0.04,0.22,0,0,0,0.09,0.09,0.05,-0.02,-0.02,0.07,0.16,0.16
625,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,0.12,1.71,0.56,32.6,1.72,0.56,0.07,0.21,0,0,0,0.12,0.12,0.07,0,0,0.15,0.27,0.27
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
626,Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,29.8,0.03,0.23,0.07,28.6,0.23,0.07,0.14,0.5,0,0,0,0.03,0.03,0.12,0.01,0.01,0.03,0.05,0.05
627,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,0.12,0.48,0.2,41.7,0.48,0.2,0.25,0.6,0,0,0,0.08,0.08,0.17,0.04,0.04,0.15,0.23,0.23
628,Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,0,0.44,0.06,14.3,0.44,0.06,0,0,0,0,0,0.01,0.01,0.03,-0.01,-0.01,0.04,0.06,0.06
629,Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,0.04,0.76,0.22,29.4,0.75,0.22,0.06,0.2,0,0,0,0.08,0.08,0.11,-0.04,-0.04,0.01,0.1,0.1
630,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,0,2.62,0.82,31.3,2.63,0.82,0,0,0,0,0,0.33,0.33,0.12,-0.33,-0.33,0.04,0.36,0.36
631,Pawe? Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,0.13,0.52,0.13,25,0.52,0.13,0.25,1,0,0,0,0.05,0.05,0.1,0.08,0.08,0,0.05,0.05
632,Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,0.08,0.88,0.27,30.4,0.88,0.27,0.09,0.29,0,0,0,0.08,0.08,0.1,0,0,0.01,0.09,0.09
633,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31,0.42,3.1,0.87,28.1,3.1,0.87,0.11,0.41,0.35,0.06,0.06,0.25,0.2,0.06,0.17,0.15,0.59,0.84,0.79
634,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,16.7,0,0.54,0.18,33.3,0.54,0.18,0,0,0,0,0,0.05,0.05,0.1,-0.05,-0.05,0,0.05,0.05
635,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,31.4,0.22,2.74,0.96,34.9,2.74,0.96,0.08,0.23,0.1,0,0,0.17,0.17,0.06,0.05,0.05,0.22,0.39,0.39
636,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,0,0.19,0,0,0.19,0,0,,0,0,0,0,0,0.03,0,0,0.01,0.02,0.02
637,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,0,0.92,0.2,21.7,0.92,0.2,0,0,0,0,0,0.08,0.08,0.09,-0.08,-0.08,0.06,0.14,0.14
638,Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,0.14,1.01,0.34,33.3,1.01,0.34,0.13,0.4,0,0,0,0.09,0.09,0.09,0.05,0.05,0.06,0.15,0.15
639,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,0.05,0.61,0.15,25,0.61,0.15,0.08,0.33,0,0,0,0.05,0.05,0.07,0.01,0.01,0.06,0.1,0.1
640,Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,0.4,1.54,0.65,42.1,1.54,0.65,0.13,0.31,0,0.2,0.24,0.4,0.21,0.14,0.01,-0.01,0.14,0.53,0.35
641,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,0.28,1.83,0.73,40,1.84,0.73,0.1,0.25,0,0.09,0.09,0.29,0.23,0.12,-0.02,-0.05,0.13,0.42,0.35
642,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
643,Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8,0.13,1.13,0.25,22.2,1.13,0.25,0.11,0.5,0,0,0,0.05,0.05,0.05,0.07,0.07,0.03,0.09,0.09
644,Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,0.14,1.96,0.65,33.3,1.96,0.65,0.04,0.11,0,0.07,0.07,0.17,0.12,0.06,-0.02,-0.04,0.21,0.38,0.32
645,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,0,0.5,0.29,57.1,0.5,0.29,0,0,0,0,0,0.02,0.02,0.04,-0.02,-0.02,0.04,0.06,0.06
646,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,0,0.33,0,0,0.33,0,0,,0,0,0,0.05,0.05,0.17,-0.05,-0.05,0,0.06,0.06
647,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
648,Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,11.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0.04,0.04,0.04
649,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,0.36,3.28,1.11,33.7,3.28,1.11,0.11,0.32,0.04,0,0.08,0.43,0.37,0.11,-0.07,-0.01,0.16,0.59,0.53
650,Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,0,0.23,0,0,0.23,0,0,,0,0,0,0.01,0.01,0.02,-0.01,-0.01,0.02,0.03,0.03
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
651,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,0.66,2.1,0.86,41.2,2.1,0.86,0.24,0.57,0,0.16,0.21,0.48,0.32,0.15,0.18,0.17,0.08,0.55,0.4
652,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4,0.25,1.25,0.5,40,1.26,0.5,0.2,0.5,0,0,0,0.25,0.25,0.21,0,0,0.15,0.41,0.41
653,Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.6,0.22,0.43,0.22,50,0.43,0.22,0.5,1,0,0,0,0.09,0.09,0.2,0.13,0.13,0.06,0.14,0.14
654,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,0.06,1.71,0.46,26.7,1.72,0.46,0.03,0.13,0.06,0,0,0.16,0.16,0.09,-0.1,-0.1,0.22,0.38,0.38
655,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,0,0.3,0.15,50,0.3,0.15,0,0,0,0,0,0.03,0.03,0.11,-0.03,-0.03,0.08,0.11,0.11
656,Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,10,0.1,0.4,0.1,25,0.4,0.1,0.25,1,0,0,0,0.03,0.03,0.08,0.07,0.07,0.04,0.07,0.07
657,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,0,0.21,0.08,40,0.21,0.08,0,0,0,0,0,0.03,0.03,0.15,-0.03,-0.03,0.01,0.04,0.04
658,Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,1995,31.1,0.13,0.64,0.16,25,0.64,0.16,0.2,0.8,0,0,0,0.05,0.05,0.08,0.07,0.07,0.02,0.07,0.07
659,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,2000,6.7,0.45,2.99,1.04,35,2.99,1.04,0.15,0.43,0,0,0,0.24,0.24,0.08,0.21,0.21,0.05,0.29,0.29
660,Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,1993,24.9,0,0.4,0.04,10,0.4,0.04,0,0,0,0,0,0.04,0.04,0.11,-0.04,-0.04,0.02,0.06,0.06
661,Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,1997,20.6,0,1.36,0.19,14.3,1.36,0.19,0,0,0,0,0,0.07,0.07,0.05,-0.07,-0.07,0.11,0.18,0.18
662,Memphis Depay,nl NED,"FW,MF",Lyon,fr Ligue 1,25,1994,11.3,0.8,4.07,1.68,41.3,4.07,1.68,0.17,0.42,0.62,0.09,0.09,0.44,0.37,0.09,0.35,0.34,0.25,0.69,0.62
663,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,1992,11.4,0,0.26,0.18,66.7,0.26,0.18,0,0,0,0,0,0.07,0.07,0.25,-0.07,-0.07,0,0.07,0.07
664,Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,1987,20.8,0.1,0.87,0.24,27.8,0.87,0.24,0.11,0.4,0,0,0,0.07,0.07,0.08,0.03,0.03,0.01,0.07,0.07
665,Mattia Destro,it ITA,FW,Bologna,it Serie A,28,1991,2.1,0,1.9,0.95,50,1.95,0.97,0,0,0,0,0,0.19,0.19,0.1,-0.19,-0.19,0.44,0.63,0.63
666,Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,1991,1.7,0,4.12,2.35,57.1,4.2,2.4,0,0,0,0,0,0.24,0.24,0.06,-0.24,-0.24,0,0.27,0.27
667,Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,1994,23.3,0.17,2.7,0.94,34.9,2.7,0.94,0.05,0.14,0.34,0.04,0.04,0.23,0.19,0.07,-0.06,-0.06,0.2,0.43,0.39
668,Deyverson,br BRA,FW,Getafe,es La Liga,28,1991,2.3,0,1.74,0.43,25,1.76,0.44,0,0,0.43,0,0,0.26,0.26,0.14,-0.26,-0.26,0.24,0.5,0.5
669,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,30,1988,14.4,0.56,2.08,0.97,46.7,2.09,0.97,0.23,0.5,0,0.07,0.14,0.44,0.33,0.16,0.12,0.15,0.04,0.48,0.38
670,Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,1994,12,0.17,1.92,0.67,34.8,1.91,0.67,0.09,0.25,0.08,0,0,0.2,0.2,0.1,-0.03,-0.03,0.08,0.28,0.28
671,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,1993,33,0.09,0.67,0.18,27.3,0.67,0.18,0.14,0.5,0,0,0,0.09,0.09,0.14,0,0,0.09,0.18,0.18
672,Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,1988,22.2,0.36,3.29,0.99,30.1,3.29,0.99,0.1,0.32,0.36,0.05,0.09,0.42,0.35,0.11,-0.06,-0.04,0.62,1.04,0.97
673,Boulaye Dia,fr FRA,FW,Reims,fr Ligue 1,22,1996,20.1,0.35,1.94,0.9,46.2,1.94,0.89,0.15,0.33,0,0.05,0.05,0.26,0.23,0.12,0.08,0.07,0.11,0.37,0.34
