Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,65.9,3.41,19,31.6,19.1,1.83,52.3,0.65,1.29,50,0.65,2,35.8,202.5,112.2,38.7,994,92.1,0.75,0.57,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,59.3,4.94,22.3,25.1,16.5,1.44,50.6,1.36,2.61,52.1,1.53,2,36.7,263.4,150.9,38.9,1244,88.9,1.08,1.33,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,66.3,9.14,40.4,28.6,2.18,0.96,63.6,0.75,0.93,80.8,0.75,0,42.9,274,153.8,45.2,1236,97.6,0.43,0.29,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,36.5,0.59,5.29,12.9,19.4,5.88,36.5,1.18,2.35,50,1.76,1,21.8,164.1,104.1,45.3,39,50.6,3.53,1.18,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,58.2,1.09,10.4,37.3,14,0.99,54,0.59,1.09,54.5,0.59,0,38.7,212.8,104.8,42.3,759,88.9,0.69,1.29,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,30.1,1.01,2.61,15.7,13.8,3.33,28.4,2.32,3.04,76.2,2.32,0,19.7,135.9,71.3,44.8,142,46,3.62,1.74,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,57,5.74,25.6,31.3,4.63,0.59,54.3,0.48,0.59,81.8,0.59,1,35.2,219.2,125.1,34,619,96.9,0.32,0.11,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,30,1.26,2.4,14.4,14.3,6.71,28,0.85,1.46,58.3,0.89,0,17.4,94.1,47.1,43.7,495,46,2.89,1.91,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,59.2,2.84,19.1,34.6,8.65,0.41,57.2,0.95,1.35,70,0.95,0,39.3,200.5,77.3,38.9,261,90.6,1.08,1.08,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,67.4,10.5,34.4,33,5.75,0.97,65.2,0.43,0.48,88.2,0.43,0,44.4,329.1,177.5,46.8,1600,97.5,0.23,0.2,Matches
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,35.9,0.81,2.85,16.5,19.1,5.53,35.2,1.22,2.2,55.6,1.22,1,25,149.3,68.4,53.4,315,47.9,3.58,2.36,Matches
12,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,76.7,1.89,19.4,42.7,18.5,1.23,69.5,0.57,1.04,54.5,0.57,0,47.3,234.3,105.5,56.8,554,92,0.85,1.23,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,37.2,0.84,3.49,16.1,19.8,5.54,35.8,1.33,2.89,45.8,1.57,0,24.8,191.7,100.5,48.7,212,52.5,3.01,2.41,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,23.3,13.3,20,3.33,0,0,20,0,0,,0,0,6.67,16.7,16.7,3.33,1,100,0,0,Matches
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,33.3,0,4.29,16.7,14.3,6.19,32.4,1.9,1.9,100,1.9,0,25.7,195.2,114.8,39,50,61,2.38,1.9,Matches
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,43.1,5.38,13.5,20,14.2,2.69,37.7,0.38,1.15,33.3,0.77,0,25.4,169.2,82.3,29.2,63,82.9,1.92,0.38,Matches
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,66,0,6,40,28,2,56,6,8,75,6,0,50,518,288,52,23,88.5,6,2,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,65.2,1.15,6.46,45.5,18.8,1.15,61.7,2.12,3.72,57.1,2.39,3,48.8,291.5,175.1,54.1,548,89.7,2.39,3.01,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,34.8,30.9,34.8,0,0,0,25.2,0,0,,0,0,16.8,65.8,36.7,16,154,99.4,0,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,35.7,0.87,3.04,17,17,4.78,35.2,0.87,0.87,100,0.87,0,14.3,63.9,20,50.9,64,54.7,1.74,0.87,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,58.8,4.08,19.3,26.7,16.6,0.7,48,1.29,2.24,57.8,1.49,0,34.9,241.2,131.4,33.1,599,90.1,1.09,0.9,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,52.8,3.56,17,29,9.57,0.39,42.3,0.6,1.12,53.8,0.69,3,27.3,142.2,81.9,29.1,608,89.8,0.86,0.73,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,60,1.25,15,31.3,15,0,60,0,0,,0,0,40,181.3,61.3,38.8,29,93.5,0,2.5,Matches
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,67.1,0,12.9,31.4,28.6,2.86,67.1,2.86,2.86,100,2.86,0,47.1,382.9,237.1,57.1,32,80,0,2.86,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,54.3,0.81,11.1,29.3,19.9,2.7,53.5,2.84,4.46,63.6,3.11,0,44.1,350.9,221.5,47,285,81.9,1.62,1.76,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,67.6,8.68,42,27.7,1.42,0.66,66,0.09,0.19,50,0.09,0,42.7,202.4,101.9,45,469,98.3,0.28,0.47,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,35.5,0.12,1.3,12.9,24,9.57,34.2,1.68,2.8,60,1.74,2,26.6,157.7,86.7,48.4,450,57.7,1.49,2.55,Matches
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,77.8,2.94,18.9,39.1,24.5,1.85,68.6,1.26,2.18,57.7,1.43,0,52.4,264.5,156.1,54.5,601,92.6,0.67,1.26,Matches
29,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,49.6,3.46,12.3,32.7,10,0.38,49.2,0,0.38,0,0,0,36.5,243.8,102.7,44.6,90,77.6,1.54,1.15,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,58.4,2.14,12.4,39.6,10,1.71,57.9,1.43,1.86,76.9,1.71,0,39.6,209.3,104.7,43.7,269,87.9,1.86,1.43,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,54.6,7.66,30,25.6,1.8,0.4,53.1,0.4,0.54,73.3,0.43,0,34.6,194,83.2,34.3,934,97.9,0.18,0.29,Matches
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,63.9,3.29,18.7,31.5,18.7,1.47,53.8,2.42,4.07,59.6,2.55,1,39.9,292.9,182.3,40.6,855,91.2,0.87,1.17,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,78.3,2,13.2,60.3,7.83,0.17,77.2,1,2,50,1.17,0,55.7,225.7,114.7,60.8,346,94.8,1.17,1,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,70.1,2.75,21.8,34.6,18.9,1.13,59.6,1.34,2.89,46.3,1.55,2,43.5,268.3,169.6,42.9,565,92.8,1.41,1.41,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,22,0,0.67,6,16,6,21.3,0,0,,0,0,10.7,50,10.7,42.7,24,37.5,3.33,2,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,33,0.96,2.27,18.1,13.8,4.8,31.9,0.61,1.18,51.9,0.66,1,17.6,83,38.2,42.7,580,59.4,3.19,1,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,84.1,9.14,44.6,42.3,3.19,0.58,81.4,0.31,0.47,66.7,0.35,1,61.8,355.1,181.6,65.5,1657,98.5,0.39,0.23,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,39.1,0.91,7.27,18.2,15.5,1.82,37.3,2.73,3.64,75,2.73,0,31.8,223.6,120.9,41.8,28,60.9,1.82,1.82,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,54.2,10,33.1,21.4,3.09,1.22,52.3,0.18,0.18,100,0.18,0,30.4,189.4,104.7,34.1,900,94.9,0.25,0.18,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6,46.8,0.83,8.33,24.3,17.5,2.5,46.3,1.83,3.17,57.9,2,0,37.3,177.5,101.2,42.7,196,76.6,1,2.33,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,71.5,11.6,41.5,32,2.44,0.08,69.4,0.24,0.31,75,0.24,0,49,243.6,132.4,50.2,619,97.2,0.24,0.87,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,95.8,6.98,38.4,57.2,8.92,0.5,91.9,0.22,0.36,60,0.25,0,72.9,503.5,275.9,75.5,2068,98.5,0.32,0.14,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,63.5,2.82,19.7,30.1,18.1,1.6,51.3,1.22,2.12,57.6,1.22,2,34.6,208.4,138.7,35.7,508,91.2,0.9,0.77,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,35.8,0.46,2,17,18.9,6.85,33.5,1.23,1.62,76.2,1.31,1,21.8,103.4,34.5,50.4,349,53.3,2.77,1.62,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,95.6,3.13,19.5,46,34.2,2.67,87.5,0.41,0.82,50,0.49,2,66.6,263.6,136.9,78.5,1763,92.4,0.41,0.29,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,77,0.61,9.68,42.3,34.5,3.18,69,2.08,3.03,68.6,2.2,4,60,464.9,311.1,62.1,1943,90.4,1.42,1.79,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,62.8,11.2,38,26.9,1.42,0.58,61.4,0.08,0.08,100,0.08,0,36.8,218.7,124.5,41.9,1492,98.9,0.03,0.03,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,64.8,1.35,11.6,26.9,30.7,2.4,61.1,1.04,3.02,34.5,1.35,2,43.8,266.5,122.5,51.6,429,86.7,0.94,1.25,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,30.7,0.87,2.72,14.5,14.4,4.47,28.3,0.39,0.78,50,0.39,1,16.6,75.9,40.3,37.8,221,56.8,1.65,0.68,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,28.3,0.34,1.36,12.4,15.1,5.25,25.4,0.68,1.19,57.1,0.85,1,14.4,42.9,19,39.2,116,50.2,2.2,1.36,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,102.4,2.49,20.2,70.4,17.8,1.32,99.6,2.99,3.55,84.3,3.1,0,78,358.7,172.4,80,1515,96.1,0.66,1.02,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,62.1,3.6,16.3,41.6,7.94,0.7,57.8,0.98,1.36,72.4,0.98,1,38.7,221.1,114.8,37.9,743,91.6,0.65,0.65,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,68.8,10.7,37.2,31.6,3.47,0.67,66.4,0,0.06,0,0,0,41.4,198.4,92.9,46.7,1500,97.7,0.09,0.06,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,67.4,3.94,20.8,35.6,15,0.94,56.8,0.89,1.5,59.4,1.03,2,36.5,180,93.3,39,763,91.9,0.7,1.13,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,40.8,0,1.67,22.5,18.3,3.33,40.8,0.83,1.67,50,0.83,0,17.5,138.3,66.7,56.7,40,58.8,4.17,1.67,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,89.5,0.53,9.47,57.4,29.5,1.05,86.8,1.05,1.58,66.7,1.05,0,68.9,313.7,131.6,82.6,146,93,2.11,0,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,57.2,0.61,7.8,37.8,16.2,1.34,56.7,1.95,2.8,69.6,1.95,0,48.3,277.6,143.2,53.2,380,87.2,0.61,1.1,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,35.1,31,35.1,0,0,0,24.6,0.1,0.1,100,0.1,0,16.2,54.9,27.9,14.6,145,99.3,0,0.1,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,99.7,2.97,24,46.5,35.3,1.78,81.2,0.74,1.59,46.4,0.85,4,59.7,264.4,161.4,66.9,2230,94.4,1.02,0.62,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,27.4,22.3,27.4,0,0,0,15.5,0,0,,0,0,9.35,42.9,24.8,7.74,23,95.8,0,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,37.7,0.8,2.18,17.9,19.3,4.54,35.1,1.32,1.72,76.7,1.44,1,24.1,125.9,61.1,48.9,496,58.3,2.41,1.49,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,34.8,28.4,34.5,0.32,0,0,26.9,0,0,,0,0,19.4,74.7,38.5,17.5,490,99.2,0.04,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,70,1.62,13.9,43.3,17.6,1.2,68,1.27,2.04,62.1,1.41,3,52.2,270.6,128.2,55,728,93.2,0.99,1.27,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,55.2,1.8,8.34,28,23,4.68,52.5,1.56,3.07,50.8,1.76,7,36.4,223.6,122,53.8,773,70.1,2.2,2.73,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,39,1.31,9.35,16.5,17.9,2.68,38.6,1.37,2.77,49.5,1.61,5,29,274.9,155.4,38.1,894,69.8,1.79,1.61,Matches
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,82.6,1.89,20.5,35.4,32.1,4.53,72.1,0.75,1.19,63.2,0.75,0,52.9,299.4,172,58.4,829,89.3,1.26,1.38,Matches
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,61.8,4.25,21.9,31,13.1,0.72,50.9,1.18,1.96,60,1.44,3,32.9,203.3,120.1,35.2,485,90,1.05,0.98,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,27.5,25.5,27.5,0,0,0,16.5,0,0,,0,0,11.5,31,19.5,11.5,23,100,0,0,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,44.8,2.28,11.2,30,5.75,0.55,44.1,0.47,0.71,66.7,0.47,0,23.3,115.4,39.8,23.4,278,93.6,0.31,0.08,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,58.2,6.35,29,31.1,2.21,0.64,56.2,0.35,0.42,84.6,0.35,1,31.8,204.3,113.8,33.2,1021,98.5,0.1,0.32,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,54.1,10.7,31.7,22.9,2.86,1.21,50.8,0.07,0.1,66.7,0.07,0,29.5,188.9,102.9,33.9,981,97.5,0.17,0.07,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,63.5,2.35,16.3,30.8,20.6,3.33,59.6,2.5,3.79,66,2.65,4,46.8,289.5,162.1,48.3,557,87.3,1.52,2.12,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,56,12.7,39.2,17,1.67,0.48,55.2,0.24,0.36,66.7,0.24,0,30.1,119.4,56.4,35.4,289,97.3,0.12,0.12,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,39.9,0.81,8.26,26.2,7.79,0.7,39.7,0.35,0.47,75,0.35,0,24.1,120.6,56.9,29.1,217,86.8,0.58,0.58,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,58.1,1.91,15.4,38.9,8.94,0.43,57,1.49,2.29,65.1,1.65,0,41.4,262.2,139.6,41.1,727,94,0.85,0.8,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,51.4,0,2.86,24.3,28.6,5.71,48.6,5.71,11.4,50,5.71,0,40,302.9,194.3,45.7,20,62.5,4.29,7.14,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,66.3,3.25,23,32,15.8,1.33,57.5,1.17,2.33,50,1.33,0,36.5,235.2,140.8,39.4,865,91.5,1.13,1,Matches
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,51.1,0.66,4.92,22.6,28.5,5.57,50.8,3.93,7.38,53.3,4.43,1,42,368.9,247.5,49.8,229,75.3,3.28,4.1,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,46.2,4.64,17.2,23.1,10.4,0.66,38.5,0.44,0.99,44.4,0.5,1,26.2,207.2,126.2,26.5,434,90.4,0.77,0.77,Matches
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,66.7,0.73,9.08,37.3,25.5,2.77,59.3,1.55,2.62,59.3,1.7,2,47.1,293.4,160.7,54.9,933,82.6,1.41,1.55,Matches
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,103.3,15.6,46.7,57.8,3.33,1.11,102.2,0,0,,0,0,76.7,410,263.3,76.7,69,100,0,0,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,36.6,0.71,5.36,14.3,20.9,4.64,35.7,3.21,7.32,43.9,3.75,0,32,229.3,154.6,41.8,142,60.7,4.11,2.5,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,64.4,1.82,12.7,44.6,14.4,0.77,62.3,2.59,3.43,75.7,2.75,3,50.1,419.9,199.3,48.5,1454,92.5,1.64,1.51,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,86.8,12.4,49.2,42,2.76,0.76,85.2,0.12,0.12,100,0.12,0,61.4,348.2,204.4,66.7,1123,99,0.12,0.06,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,48.4,3.16,18.9,16.3,17.4,2.11,38.4,1.05,2.63,40,1.05,0,28.4,268.4,136.3,30,44,77.2,2.11,2.11,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,70.1,1.57,10,37.1,31.1,4.1,68.6,3.98,5.84,68,4.22,5,56.1,443.7,275.6,62.8,889,85.3,1.99,2.11,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,40.6,1.54,3.29,19.6,19.3,4.53,39.8,0.84,1.41,59.5,0.91,2,21.3,123.2,46.8,57.4,932,54.5,3.56,2.62,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,36.3,3.75,5,15,20,8.75,35,2.5,5,50,2.5,0,21.3,272.5,188.8,41.3,16,48.5,6.25,2.5,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,66.4,2.41,12.6,45.2,12.1,1.01,65.7,1.01,1.18,85.2,1.1,0,41.7,225.7,98,44.2,927,92.1,0.75,1.01,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,31.4,29.7,31.4,0,0,0,17.3,0,0,,0,0,7.46,34.7,22.2,4.41,26,100,0,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,54.1,2.13,13,32.3,11.6,1.15,52.8,0.94,1.33,71.1,1.05,3,30.1,169.6,70,32.7,842,90.1,0.66,0.84,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,63.1,0.96,12.5,45.4,10.6,0.26,61.2,1.58,1.84,85.7,1.58,0,49.7,303.6,153.6,47.1,502,93.5,0.96,1.05,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,31.4,0.45,1.59,18.2,12.6,2.73,29.3,1.25,1.82,68.8,1.36,0,17.5,72.3,27.4,44.3,211,54.1,2.05,1.59,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,37.7,32.2,37.6,0.23,0,0,27.5,0.15,0.15,100,0.15,0,18.8,77.1,36.1,16.8,218,100,0,0,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,66.9,3.7,16.9,36,18.5,0.42,52.7,0.76,0.92,83.3,0.76,1,34.8,205.7,108.7,33,812,94,0.73,0.73,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,73,2.13,17.6,32.9,26.6,2.13,60.8,1.72,2.21,77.8,1.8,1,42.5,219.8,124.1,48.4,532,90,1.39,0.74,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,101.5,3.4,20.9,42.3,45.5,2.13,91.3,1.06,1.7,62.5,1.06,2,68.3,328.7,200.4,76.8,343,95,0.64,0.85,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,60,0,5,25,30,10,60,5,5,100,5,0,50,335,200,55,8,72.7,0,5,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,61.5,2.8,19,25.6,20.5,2.12,55.3,1.02,1.53,66.7,1.02,0,42.4,190.3,116.1,46.5,499,90.9,0.85,0.93,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,55.4,2.81,14.6,22.2,23.2,2.55,47.7,2.7,4.29,63.1,2.96,2,38.1,309.7,173.9,38.2,647,86.4,1.33,1.79,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,110,0,0,70,50,0,80,10,10,100,10,0,90,900,480,60,6,100,0,10,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,43.4,0.61,2.4,15.6,28.4,6.43,41.4,3.67,5.51,66.7,3.83,3,30.7,230.8,137.7,57.9,626,55.2,3.62,2.5,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,50.4,3.25,17.5,22.9,13.2,0.88,41.9,0.53,1.4,37.5,0.7,1,27,183.2,112.8,31.1,305,85.9,0.88,0.44,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,44.4,0,7.78,17.8,22.2,6.67,44.4,0,0,,0,0,24.4,176.7,121.1,32.2,21,72.4,5.56,0,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,30,0,10,10,10,0,30,0,0,,0,0,10,110,110,20,2,100,10,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,43.1,0.88,7.55,19.9,19.9,3.32,38.1,1.31,2.92,45,1.5,3,29.3,273.1,159.6,37.6,745,72.3,2.15,1.42,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,60.5,1.43,12.9,44.8,7.62,0.95,59.5,0.95,1.43,66.7,0.95,0,39.5,341,165.2,44.8,83,88.3,0.48,1.43,Matches
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,62.9,0.74,6.45,40.4,22.4,3.04,61.1,3,4.79,62.5,3.32,5,51.5,353.1,217.2,59.5,1100,85.2,2.07,2.67,Matches
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,57.1,0,10,32.9,17.1,1.43,57.1,4.29,4.29,100,4.29,0,40,190,70,51.4,29,80.6,5.71,0,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,65.1,3.03,24.3,31.2,12,0.34,54.3,1.18,1.52,77.8,1.18,0,34.8,175.1,93,36,598,93.4,0.51,1.01,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,40,1.58,7.07,25,10.2,0.76,38.7,0.85,1.26,67.4,0.94,2,21.9,138.9,57.9,21.2,613,84.9,1.03,1.14,Matches
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,75.6,2.22,28.9,27.8,22.2,3.33,64.4,0,2.22,0,1.11,1,48.9,270,142.2,46.7,39,92.9,1.11,1.11,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,79.5,2.09,16,55.2,12.3,0.94,78.1,0.55,0.94,59.1,0.6,1,52.9,228.2,102.6,61.7,1350,93,0.81,0.89,Matches
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,48.6,0.43,5.76,20,27.2,3.8,46.4,2.83,4.13,68.4,2.93,2,36.5,275.5,162.8,40.5,296,79.4,1.41,1.74,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,56.8,10.2,33.7,25.4,1.59,0.62,54.9,0.03,0.03,100,0.03,0,33.2,236.1,116.2,35.8,1133,98.6,0.19,0.12,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,89.6,12.7,46.2,48.1,0.77,0.38,88.1,0.38,0.38,100,0.38,0,66.5,286.2,175.8,71.5,186,100,0,0.38,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,63.3,4.75,23.5,36.8,7.58,0.49,56.8,0.18,0.27,66.7,0.18,0,33.7,246,108.5,33.2,714,96.5,0.36,0.45,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,35.5,31.3,35.5,0,0,0,26,0,0,,0,0,19.3,85.5,47.5,15.5,62,100,0,0.25,Matches
