Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1746,Yoshinori Mut?,jp JPN,"FW,MF",Newcastle Utd,eng Premier League,27,1992,2.4,21.3,0,2.92,11.3,10,1.25,20.8,2.5,2.92,85.7,2.5,0,18.8,144.6,79.2,33.3,35,43.8,2.5,2.5,Matches
1747,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,25,1994,2,41,32.5,41,0,0,0,34,0.5,0.5,100,0.5,0,29.5,98,36.5,24.5,49,100,0,0,Matches
1748,Phillipp Mwene,at AUT,DF,Mainz 05,de Bundesliga,25,1994,3.5,58.6,2,20.3,28.9,12.6,0.86,43.1,0.57,1.14,50,0.57,0,21.7,148.6,76.6,20.9,63,86.3,0.57,0.57,Matches
1749,Obite N'Dicka,fr FRA,DF,Eint Frankfurt,de Bundesliga,19,1999,19.1,66.4,4.29,25.1,37.6,8.22,1.05,59.6,1.1,1.62,67.7,1.15,0,40.2,210.6,113.1,42.3,733,90.8,0.52,0.31,Matches
1750,Kévin N'Doram,fr FRA,MF,Metz,fr Ligue 1,23,1996,18.3,59,2.19,16,41.4,6.01,0.38,57.7,1.2,1.86,64.7,1.37,1,42,249.8,129.7,43.6,736,92.3,0.6,0.93,Matches
1751,Abdallah N'dour,sn SEN,DF,Strasbourg,fr Ligue 1,25,1993,4.1,60,1.71,17.3,28,17.1,0.24,52.4,0.24,0.73,33.3,0.24,0,37.1,166.6,82.7,42,158,91.9,1.22,0.49,Matches
1752,Ferris N'Goma,fr FRA,"FW,MF",Brest,fr Ligue 1,26,1993,0.3,66.7,0,0,36.7,33.3,3.33,60,6.67,10,66.7,6.67,0,56.7,403.3,276.7,63.3,12,63.2,3.33,6.67,Matches
1753,Nathan N'Goumou,fr FRA,"FW,MF",Toulouse,fr Ligue 1,19,2000,0.1,20,10,10,10,0,0,20,0,0,,0,0,10,0,0,30,1,33.3,0,0,Matches
1754,Georges-Kévin N'Koudou,fr FRA,FW,Tottenham,eng Premier League,24,1995,0,1,0,0,0,1,1,1,0,0,,0,0,1,25,25,3,1,33.3,0,0,Matches
1755,Stanley N'Soki,fr FRA,DF,Nice,fr Ligue 1,20,1999,14.1,82.5,6.17,34.3,47.1,8.01,0.64,75.9,1.77,2.62,67.6,2.06,0,57.9,353.8,206.9,58.7,797,96.4,0.64,0.78,Matches
1756,Nacho,es ESP,DF,Real Madrid,es La Liga,29,1990,4.9,72.2,7.14,21.4,34.1,19.2,0.61,65.1,0.2,1.02,20,0.2,0,44.5,172.7,82,49.6,231,95.1,0.61,0.2,Matches
1757,Nacho,es ESP,DF,Valladolid,es La Liga,30,1989,21,64.5,4.05,19.9,30.4,17.8,1.19,51.8,0.62,1.19,52,0.71,1,34.2,178.2,105,36.5,702,91.5,0.62,0.14,Matches
1758,Radja Nainggolan,be BEL,"MF,FW",Cagliari,it Serie A,31,1988,23,63,1.91,9.09,35.2,23.8,1.83,60,1.91,2.74,69.8,1.91,0,47.4,308.8,142.7,51.3,1044,88.5,1.91,2.09,Matches
1759,Marvelous Nakamba,zw ZIM,MF,Aston Villa,eng Premier League,25,1994,20.4,49.7,4.46,17.1,27.1,7.94,0.2,48.6,0.69,0.98,70,0.78,1,29.1,145.1,53.2,28,543,94.9,0.29,0.69,Matches
1760,Naldo,br BRA,DF,Espanyol,es La Liga,30,1988,14.8,55.5,6.28,29.1,26.8,1.96,0.95,53.8,0.2,0.27,75,0.2,0,32.6,160.9,72.6,35.3,506,96.7,0.54,0.54,Matches
1761,Nahitan Nández,uy URU,"MF,DF",Cagliari,it Serie A,23,1995,32.2,52.5,1.55,10.8,26.7,19.6,1.99,50,1.61,2.48,65,1.74,1,38.9,257.7,137.3,43.9,1172,82.9,1.21,1.74,Matches
1762,Matija Nastasi?,rs SRB,DF,Schalke 04,de Bundesliga,26,1993,15.2,70.9,11.4,43.7,31.9,0.99,0.92,69.5,0,0,,0,0,44.5,230.5,136.8,49.3,736,98.1,0,0,Matches
1763,Marc Navarro,es ESP,DF,Leganés,es La Liga,24,1995,2.4,42.5,2.5,12.5,20.4,12.5,2.08,35.4,0.83,0.83,100,0.83,0,22.1,115.4,77.1,27.9,59,88.1,0.83,0.42,Matches
1764,Ximo Navarro,es ESP,DF,Alavés,es La Liga,29,1990,21.1,53,5.12,22.2,26.4,7.2,0.62,45,0.66,1,66.7,0.71,0,24.1,160.9,76.5,24.9,484,92.2,0.9,0.66,Matches
