Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,2,32,23,0,0,1,231,41,31,56.9,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,1,2,0,0,0,7,0,4,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,4,33,11,0,0,0,247,64,58,52.5,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6,1,0,0,9,8,2,6,5,13,0,0,0,35,4,10,28.6,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,3,12,11,0,1,1,121,21,26,44.7,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,28,30,17,0,0,0,328,22,27,44.9,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,26,2,29,21,29,0,1,1,149,8,20,28.6,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,6,0,0,23,13,18,4,1,2,0,0,0,49,34,51,40,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,65,38,14,0,0,1,211,10,14,41.7,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,1,179,24,34,0,0,0,291,8,15,34.8,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,9,0,0,30,25,2,3,43,33,0,2,0,338,78,41,65.5,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2,0,0,8,11,1,68,8,11,0,1,0,90,2,5,28.6,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,1,2,2,1,0,0,40,8,18,30.8,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,1,2,0,0,0,17,4,15,21.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,14,0,7,46,38,0,0,0,305,29,38,43.3,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,57,0,28,15,36,0,2,0,283,43,43,50,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,18,4,1,8,26,24,0,0,1,322,76,54,58.5,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,43,34,28,0,0,0,197,38,22,63.3,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,1,0,0,0,0,0,5,11,9,55,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,4,0,1,0,0,0,12,2,3,40,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,3,1,11,0,0,0,53,4,11,26.7,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,377,46,25,0,0,0,352,14,32,30.4,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,15,3,11,0,0,0,67,43,63,40.6,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,13,13,36,0,0,0,123,10,7,58.8,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,2,0,0,12,33,6,7,14,29,0,0,0,157,17,32,34.7,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,30,58,24,42,30,36,0,0,0,228,9,37,19.6,Matches
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,67,20,19,1,0,0,183,42,31,57.5,Matches
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,14,13,1,33,16,19,0,0,1,101,35,9,79.5,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,2,16,20,0,0,0,143,24,34,41.4,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,12,64,25,0,1,0,326,88,61,59.1,Matches
