Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
492,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,24,1995,12.2,5,0,0,18,4,0,34,15,18,0,1,0,123,37,27,57.8,Matches
493,Jhon Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,24.9,3,0,0,21,7,3,0,33,19,0,0,1,189,69,39,63.9,Matches
494,Timothy Chandler,us USA,"DF,MF",Eint Frankfurt,de Bundesliga,29,1990,13.6,4,0,0,16,11,4,65,14,10,0,0,0,87,42,30,58.3,Matches
495,Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,de Bundesliga,25,1994,7.5,0,0,0,4,21,3,18,7,6,1,0,0,68,16,23,41,Matches
496,Gaëtan Charbonnier,fr FRA,"FW,MF",Brest,fr Ligue 1,30,1988,22.9,5,0,0,40,34,9,30,6,22,1,0,0,107,50,81,38.2,Matches
497,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,9.1,4,0,0,6,4,0,0,14,8,0,2,0,80,31,21,59.6,Matches
498,Charles,br BRA,FW,Eibar,es La Liga,35,1984,14.5,8,0,0,41,21,7,2,7,6,1,0,0,67,51,89,36.4,Matches
499,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,23.9,6,0,0,39,9,4,103,36,52,0,0,0,205,15,18,45.5,Matches
500,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,es La Liga,31,1988,2.3,1,0,0,14,4,7,6,1,1,0,0,0,9,18,11,62.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
501,Aurélien Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,21.9,4,1,1,14,12,0,0,41,27,0,1,0,255,45,23,66.2,Matches
502,Pape Cheikh Diop,es ESP,MF,Celta Vigo,es La Liga,21,1997,6.7,5,1,1,24,17,0,0,5,6,0,0,0,61,3,8,27.3,Matches
503,Chema,es ESP,DF,Getafe,es La Liga,27,1992,3.4,4,0,0,7,1,1,1,5,2,0,0,0,57,14,14,50,Matches
504,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,15,2003,1.6,0,0,0,1,6,0,5,0,2,0,0,0,13,0,2,0,Matches
505,Denis Cheryshev,ru RUS,"MF,FW",Valencia,es La Liga,28,1990,10.3,5,0,0,23,13,2,41,7,7,1,1,0,74,10,15,40,Matches
506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,2.2,0,0,0,4,2,0,0,1,2,0,0,0,18,4,2,66.7,Matches
507,Federico Chiesa,it ITA,"FW,DF",Fiorentina,it Serie A,21,1997,29.3,7,0,0,54,46,7,51,6,30,2,0,0,176,6,30,16.7,Matches
508,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,26.4,3,0,0,28,30,1,104,28,26,0,0,0,241,62,22,73.8,Matches
509,Vlad Chiriche?,ro ROU,DF,Sassuolo,it Serie A,29,1989,7.9,0,0,0,8,3,1,1,10,12,0,0,0,74,13,13,50,Matches
510,Tahith Chong,nl NED,"FW,MF",Manchester Utd,eng Premier League,19,1999,0.4,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,Matches
511,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,5,1,1,27,22,1,10,21,21,0,0,0,164,19,16,54.3,Matches
512,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,9.9,4,1,1,12,7,0,4,27,13,0,0,0,104,11,8,57.9,Matches
513,Mounir Chouiar,fr FRA,"MF,FW",Dijon,fr Ligue 1,20,1999,16.7,4,1,0,34,20,4,87,14,27,0,0,0,124,12,12,50,Matches
514,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,19.5,5,0,0,17,10,0,0,31,20,0,0,0,173,68,40,63,Matches
515,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,es La Liga,20,1999,22.4,2,0,0,16,50,12,36,11,15,2,0,0,150,11,30,26.8,Matches
516,Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,0.2,0,0,0,1,0,1,2,1,0,0,0,0,3,0,1,0,Matches
517,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
518,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.8,8,1,1,36,28,0,84,23,26,0,0,0,195,10,13,43.5,Matches
519,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,18.1,4,0,0,22,9,0,5,22,31,0,0,0,173,19,17,52.8,Matches
520,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,1,0,0,0,2,0,0,3,0,0,0,0,126,0,0,,Matches
521,Thiago Cionek,pl POL,DF,SPAL,it Serie A,33,1986,24.1,11,0,0,53,52,0,61,45,33,1,1,0,230,45,24,65.2,Matches
522,Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23,1996,0.7,1,0,0,2,0,0,1,0,0,0,0,0,11,1,1,50,Matches
523,Ibrahim Cissé,ci CIV,"DF,FW",Nice,fr Ligue 1,20,1999,0.6,0,0,0,0,1,0,0,0,1,0,0,0,4,3,3,50,Matches
524,Andrea Cistana,it ITA,DF,Brescia,it Serie A,22,1997,20.4,7,1,0,24,14,1,4,34,21,0,1,0,171,47,47,50,Matches
525,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,13.2,3,0,0,9,7,0,0,13,12,0,0,0,100,31,31,50,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
526,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,34,1985,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches
527,Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,fr Ligue 1,21,1998,18.1,2,0,0,13,44,1,28,11,18,0,0,0,96,10,9,52.6,Matches
528,Christian Clemens,de GER,"MF,FW",Köln,de Bundesliga,27,1991,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,Matches
529,Óscar Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
530,Yannis Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
531,Denilho Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,0.5,2,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,Matches
532,Carlos Clerc,es ESP,DF,Levante,es La Liga,27,1992,20.5,4,0,0,24,20,2,59,24,19,0,0,0,173,27,27,50,Matches
533,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,10.8,2,0,0,16,10,0,28,9,17,0,0,0,93,8,14,36.4,Matches
534,Conor Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38,5,0,0,16,7,0,0,27,22,0,1,0,387,42,24,63.6,Matches
535,Marcus Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
536,Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,8.5,3,0,0,20,4,1,22,8,16,0,0,0,85,17,7,70.8,Matches
537,Coke,es ESP,DF,Levante,es La Liga,32,1987,11,3,0,0,17,11,1,26,13,15,0,0,0,110,17,11,60.7,Matches
538,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,20.4,5,1,1,19,19,1,42,24,31,0,0,0,211,30,23,56.6,Matches
539,Álex Collado,es ESP,DF,Barcelona,es La Liga,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
540,Ebrima Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,0.9,1,0,0,3,4,0,0,1,1,0,0,0,12,1,1,50,Matches
541,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,30.8,10,0,0,40,16,2,5,58,34,0,2,0,352,87,40,68.5,Matches
542,Jamilu Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,29.6,9,1,1,45,28,1,41,73,41,0,2,0,353,34,33,50.7,Matches
543,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
544,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,17,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
545,Racine Coly,sn SEN,DF,Nice,fr Ligue 1,23,1995,7.2,5,2,2,12,8,1,9,10,9,0,0,0,70,13,9,59.1,Matches
546,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,23,1996,16.7,2,0,0,11,33,4,79,3,15,1,0,0,125,17,20,45.9,Matches
547,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,21.6,4,0,0,16,16,0,7,47,23,1,0,1,219,46,37,55.4,Matches
548,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,14,0,0,0,16,38,14,9,0,8,2,0,0,54,14,48,22.6,Matches
549,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,1,0,0,1,1,0,0,4,0,0,0,0,131,0,1,0,Matches
550,Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,8,0,0,37,22,0,24,43,31,0,0,0,148,17,13,56.7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
551,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15,5,0,0,23,11,0,9,21,16,0,0,0,168,14,16,46.7,Matches
552,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27,6,1,0,17,15,1,2,45,13,0,1,0,286,108,61,63.9,Matches
553,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,8,1,1,34,28,2,3,40,24,1,1,0,202,21,10,67.7,Matches
554,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1.4,1,0,0,0,0,0,1,4,1,0,0,0,10,2,2,50,Matches
555,Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3,1,0,0,4,5,0,25,5,0,0,0,0,12,0,0,,Matches
556,Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16,4,0,0,26,14,4,36,16,14,0,0,0,106,17,18,48.6,Matches
557,Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,5,0,0,58,65,26,11,4,11,0,0,0,94,54,92,37,Matches
558,Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,4.1,0,0,0,6,12,1,2,1,3,0,0,0,23,13,31,29.5,Matches
559,Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,0,0,0,3,3,0,9,4,3,0,0,0,7,10,12,45.5,Matches
560,Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29,1,0,0,32,25,1,6,29,27,0,0,0,339,53,64,45.3,Matches
561,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,16.6,1,0,0,42,30,3,7,2,6,1,0,0,78,93,61,60.4,Matches
562,Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,14.8,1,0,0,14,28,2,78,19,14,0,0,0,123,18,22,45,Matches
563,Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,3.9,0,0,0,6,5,1,47,5,1,0,0,0,26,3,2,60,Matches
564,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,22.9,5,0,0,26,41,9,35,14,15,0,0,0,147,16,37,30.2,Matches
565,Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,22.2,0,0,0,18,49,6,9,7,11,3,0,0,86,16,46,25.8,Matches
566,Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,3,0,0,15,10,0,32,17,9,0,0,0,127,33,24,57.9,Matches
567,Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,0,0,0,3,8,0,3,2,5,0,0,0,21,0,4,0,Matches
568,Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2,2,0,0,6,3,0,4,2,3,0,0,0,12,4,7,36.4,Matches
569,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
570,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,0,0,0,7,5,4,85,14,21,0,0,0,111,30,30,50,Matches
571,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15,5,0,0,20,20,19,5,3,9,0,0,1,56,58,84,40.8,Matches
572,Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,1,0,0,10,10,3,40,6,5,0,0,0,53,1,7,12.5,Matches
573,Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,2,1,0,20,20,2,30,25,18,0,0,0,98,18,18,50,Matches
574,Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,4,0,0,13,13,0,6,5,6,0,0,0,36,19,13,59.4,Matches
575,David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,1,0,0,5,2,0,0,6,4,0,0,0,38,8,7,53.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
576,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,1,0,0,0,2,0,0,2,0,0,0,0,116,0,0,,Matches
577,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18,1,0,0,34,12,22,9,5,7,0,0,0,53,85,86,49.7,Matches
578,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,0,0,0,7,5,0,1,10,5,0,0,0,61,10,10,50,Matches
579,Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,6,0,0,22,21,6,74,14,32,1,0,0,91,11,19,36.7,Matches
580,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,1,0,0,0,4,0,0,2,0,0,0,0,161,1,0,100,Matches
581,Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,0,0,0,5,23,3,41,6,25,1,0,0,92,6,10,37.5,Matches
582,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,1,0,0,4,6,1,0,8,4,0,0,0,40,14,9,60.9,Matches
583,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,1,0,0,0,1,0,0,0,0,0,0,0,71,0,0,,Matches
584,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,7,0,0,16,18,2,127,35,29,0,0,0,295,51,34,60,Matches
585,Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,7,0,0,30,41,0,76,52,44,0,1,0,201,28,16,63.6,Matches
586,Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,18,7,1,0,32,6,0,7,26,14,0,1,0,165,13,24,35.1,Matches
587,Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1,0,0,0,0,2,0,5,1,4,0,0,0,10,0,0,,Matches
588,Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,1,0,0,21,24,2,18,8,24,0,0,0,96,6,14,30,Matches
589,Juan Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,7,1,0,28,79,3,86,36,40,1,0,0,257,17,24,41.5,Matches
590,Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,5,1,1,16,37,4,24,12,11,0,1,0,78,41,65,38.7,Matches
591,Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36,9,0,0,78,62,6,130,33,62,1,0,0,375,49,85,36.6,Matches
592,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,4,1,1,0,6,0,0,1,0,0,0,0,181,0,0,,Matches
593,Jaume Cuéllar,bo BOL,"FW,MF",SPAL,it Serie A,17,2001,0.8,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,0,Matches
594,Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,1,0,0,11,3,0,15,3,3,1,0,0,16,0,4,0,Matches
595,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,3,0,0,25,29,2,5,9,9,1,0,0,60,6,16,27.3,Matches
596,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,0,0,0,9,6,3,1,1,4,0,0,0,26,6,9,40,Matches
597,Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,100,Matches
598,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,1,0,0,8,10,11,5,2,6,1,0,0,37,10,37,21.3,Matches
599,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,0,0,0,5,9,4,6,2,4,0,0,0,25,5,21,19.2,Matches
600,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,3,1,1,13,32,1,97,18,16,0,1,0,155,11,9,55,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
601,Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,4,1,1,25,23,1,5,35,37,0,2,1,274,67,44,60.4,Matches
602,Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
603,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,1991,8.7,0,1,0,3,9,1,27,4,9,0,0,0,33,0,8,0,Matches
604,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,6,0,0,35,19,4,17,14,20,0,0,0,119,20,17,54.1,Matches
605,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
606,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,0,0,0,0,0,0,1,0,1,0,0,0,6,1,5,16.7,Matches
607,Jacopo Da Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
608,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,3,0,0,25,12,2,4,28,17,0,1,1,235,91,31,74.6,Matches
609,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,4,0,0,17,22,1,4,11,14,0,0,0,81,13,8,61.9,Matches
610,Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,4,0,0,23,22,4,5,4,7,1,0,0,56,10,23,30.3,Matches
611,Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,50,Matches
612,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,1,0,0,13,3,2,25,5,4,0,0,0,51,1,5,16.7,Matches
613,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,1,0,0,12,6,0,4,8,7,0,0,0,58,3,5,37.5,Matches
614,Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
615,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,5,0,0,20,9,1,4,8,8,0,1,0,81,16,9,64,Matches
616,Christian Dalle Mura,it ITA,MF,Fiorentina,it Serie A,17,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
617,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,0,0,0,1,0,0,3,2,2,0,0,0,8,4,0,100,Matches
618,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,0,0,0,0,0,0,5,1,0,0,0,0,9,2,1,66.7,Matches
619,Danilo,br BRA,DF,Juventus,it Serie A,28,1991,16,4,1,1,20,14,2,30,23,17,0,1,0,140,17,13,56.7,Matches
620,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,0,0,0,5,0,0,2,14,5,0,0,0,154,36,32,52.9,Matches
621,Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,2,1,1,4,2,0,4,3,4,0,0,0,28,11,10,52.4,Matches
622,Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21,7,0,0,17,6,1,1,27,19,0,1,1,181,53,21,71.6,Matches
623,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
624,Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,4,0,0,34,26,2,58,21,25,0,0,0,205,28,21,57.1,Matches
625,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,8,1,1,38,24,3,99,26,40,0,0,0,230,21,43,32.8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
626,Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,29.8,6,0,0,38,45,3,45,25,39,0,1,0,254,33,33,50,Matches
627,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,4,1,1,25,34,7,65,34,49,0,0,0,366,27,24,52.9,Matches
628,Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,6,0,0,27,8,1,30,24,13,0,0,0,163,42,22,65.6,Matches
629,Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,8,0,0,29,40,1,8,34,18,0,0,0,252,34,31,52.3,Matches
630,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,0,0,0,12,11,3,1,0,2,0,0,0,27,23,39,37.1,Matches
631,Pawe? Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,4,2,1,19,8,1,2,12,8,0,1,0,66,26,13,66.7,Matches
632,Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,6,0,0,31,12,0,4,34,19,0,1,0,254,107,36,74.8,Matches
633,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31,3,0,0,26,28,3,304,19,28,0,0,0,232,18,22,45,Matches
634,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,16.7,1,0,0,10,8,3,6,34,15,0,0,0,155,41,31,56.9,Matches
635,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,31.4,5,1,0,33,76,2,239,28,37,0,0,0,265,2,11,15.4,Matches
636,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,1,0,0,0,3,0,9,8,5,0,0,0,44,7,8,46.7,Matches
637,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,2,0,0,34,15,7,81,20,9,0,1,0,120,59,41,59,Matches
638,Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,2,0,0,25,22,2,14,15,33,0,0,0,216,60,33,64.5,Matches
639,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,2,0,0,32,23,2,63,43,26,0,2,0,200,93,36,72.1,Matches
640,Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,3,0,0,37,37,12,10,11,17,1,0,0,119,173,290,37.4,Matches
641,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,1,0,0,16,12,4,4,3,9,0,0,0,57,6,22,21.4,Matches
642,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
643,Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8,3,0,0,7,8,0,10,7,12,0,0,0,72,2,6,25,Matches
644,Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,2,0,0,21,22,4,24,8,19,0,0,0,89,20,30,40,Matches
645,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,1992,13.9,4,0,0,21,11,0,64,14,14,0,0,0,105,3,16,15.8,Matches
646,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,1991,9.2,4,0,0,20,12,1,1,27,16,0,0,1,105,22,14,61.1,Matches
647,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,1.5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
648,Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,1994,11.2,2,1,1,16,9,0,28,17,16,0,0,0,84,24,11,68.6,Matches
649,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,1991,25.3,5,0,0,69,39,21,90,4,20,0,0,0,118,64,77,45.4,Matches
650,Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,5,1,1,18,7,0,8,16,11,0,0,0,175,12,10,54.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
651,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,1996,24.3,3,0,0,43,24,11,3,2,9,3,0,0,78,58,79,42.3,Matches
652,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,1997,4,1,1,0,1,5,4,20,0,0,0,0,0,21,1,2,33.3,Matches
653,Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,1998,4.6,1,0,0,5,1,1,1,4,7,0,1,0,39,22,6,78.6,Matches
654,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17.5,4,1,1,24,18,1,124,20,22,0,0,0,172,22,15,59.5,Matches
655,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,1991,13.5,3,0,0,19,13,0,8,12,28,0,0,0,139,10,17,37,Matches
656,Diego Demme,de GER,MF,Napoli,it Serie A,27,1991,10,6,0,0,25,11,0,3,10,13,0,0,0,85,5,9,35.7,Matches
657,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,1995,23.7,0,0,0,9,1,0,1,16,16,0,0,0,182,46,32,59,Matches
