Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Timothy Fosu-Mensah,nl NED,DF,21,5,3,231,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.06,0.05,0.11,0.06,0.11,Matches
Ethan Laird,eng ENG,DF,18,2,1,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
Dylan Levitt,wal WAL,MF,18,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.03,0.08,0.11,0.03,0.11,Matches
Lee Grant,eng ENG,GK,36,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Di'Shon Bernard,eng ENG,DF,18,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
D'Mani Bughail-Mellor,eng ENG,FW,18,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Largie Ramazani,be BEL,MF,18,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Teden Mengi,eng ENG,DF,17,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ethan Galbraith,nir NIR,FW,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Max Taylor,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Arnau Puigmal,es ESP,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matej Kovar,cz CZE,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
