Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Tahith Chong,nl NED,FW,19,5.2,23.7,22.3,1.35,0.19,0.19,4.23,0,1.54,0,0,0,0,19.2,3.46,0.96,20.2,1.92,0.19,1.15,0,17.9,0,0.58,1.15,1.73,Matches
James Garner,eng ENG,MF,18,3.5,62.3,60.9,1.43,1.14,0,12,1.43,0,0,0,0,0,55.1,4.29,2.86,3.71,56.3,1.43,0.29,0.29,57.1,0,0.29,0.86,0.86,Matches
Angel Gomes,eng ENG,"FW,MF",18,3.3,54.2,48.5,5.76,1.21,0.3,9.7,1.82,5.15,4.55,1.52,1.82,0,39.1,6.97,8.18,5.45,47.6,0.61,0,0,46.7,0.3,2.12,0.3,0.61,Matches
Timothy Fosu-Mensah,nl NED,DF,21,2.6,53.1,44.6,8.46,0.77,0,2.69,0.77,1.15,0,0,0,0,36.5,10,6.54,8.85,33.8,2.69,7.69,0,44.2,0.38,1.15,0.38,0.77,Matches
Ethan Laird,eng ENG,DF,18,1.3,56.9,46.9,10,1.54,0,8.46,1.54,0.77,0,0,0,0,43.1,6.92,6.92,3.08,43.8,0.77,8.46,0,50,0,0,0.77,3.08,Matches
Dylan Levitt,wal WAL,MF,18,1,103,98,5,3,0,18,2,0,2,0,0,0,94,7,2,18,85,0,0,0,100,0,1,1,0,Matches
Lee Grant,eng ENG,GK,36,1,26,13,13,1,0,3,2,0,0,0,0,0,14,1,11,3,15,0,0,7,18,0,0,0,0,Matches
Di'Shon Bernard,eng ENG,DF,18,1,74,74,0,0,0,6,0,0,0,0,0,0,69,4,1,15,58,0,0,0,73,0,0,0,1,Matches
D'Mani Bughail-Mellor,eng ENG,FW,18,0.3,13.3,10,3.33,3.33,0,3.33,0,0,0,0,0,0,10,3.33,0,0,13.3,0,0,0,13.3,0,0,0,0,Matches
Largie Ramazani,be BEL,MF,18,0.1,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,Matches
Teden Mengi,eng ENG,DF,17,0.1,70,70,0,0,0,0,0,0,0,0,0,0,70,0,0,10,60,0,0,0,70,0,0,0,0,Matches
Ethan Galbraith,nir NIR,FW,18,0,6,6,0,0,0,1,0,0,0,0,0,0,5,1,0,0,6,0,0,0,6,0,0,0,0,Matches
